current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,BNTX,BioNTech SE - American Depositary Shares,,1,93.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MAZE,MAZE THERAPEUTICS,Health Care,2,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CRVS,CORVUS PHARMACEUTICALS,Health Care,3,13.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PCYO,PURE CYCLE CORP,Utilities,4,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WEN,WENDYS,Consumer Discretionary,5,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CEG,Constellation Energy,Utilities,6,269.890015,,,,,,,,39,267.25,,9,273.709991,-0.02360159,,,,,,,,,,,,,,,,,,,,,,,,
7,LEN,Lennar,Consumer Discretionary,7,88.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RCUS,ARCUS BIOSCIENCES,Health Care,8,28.639999,,10,28.344999,0.01040748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TK,TEEKAY CORPORATION CORP LTD,Energy,9,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MTH,MERITAGE CORP,Consumer Discretionary,10,74.550003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CPK,CHESAPEAKE UTILITIES,Utilities,11,134.229996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TALK,TALKSPACE,Health Care,12,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TARS,TARSUS PHARMACEUTICALS,Health Care,13,64.790001,,6,65.330002,-0.00826574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RMAX,RE MAX HOLDINGS INC CLASS A,Real Estate,14,11.34,,28,10.76,0.05390335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GNE,GENIE ENERGY LTD CLASS B,Utilities,15,14.6,,12,14.74,-0.00949796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PCVX,VAXCYTE,Health Care,16,58.07,,1,58.889999,-0.01392425,,,,,,,,,,,,,39,55.959999,,,,,,,,,,,,,,,,,,,
17,SNFCA,SECURITY NATIONAL FINANCIAL CORP C,Financials,17,9.64,,8,9.63,0.00103842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NWE,NORTHWESTERN ENERGY GROUP,Utilities,18,72.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MNSB,MAINSTREET BANCSHARES INC,Financials,19,24.1,,7,24.059999,0.00166255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BKH,BLACK HILLS CORP,Utilities,20,74.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CPS,COOPER STANDARD HOLDINGS,Consumer Discretionary,21,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,28.379999,,,,,,,
22,OFRM,ONCE UPON A FARM PBC,Consumer Staples,22,17.879999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IDN,INTELLICHECK INC,Information Technology,23,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ANIP,ANI PHARMACEUTICALS,Health Care,24,78.25,,2,82.629997,-0.05300735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GILD,Gilead Sciences,Health Care,25,133.210007,,43,130.860001,0.01795817,1,131.759995,-0.00683056,1,135.25,-0.02580410,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,STX,Seagate Technology,Information Technology,26,812.76001,,11,852.950012,-0.04711882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HBAN,Huntington Bancshares,Financials,27,17.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AZO,AutoZone,Consumer Discretionary,28,3126.830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,GIS,General Mills,Consumer Staples,29,36.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,COP,ConocoPhillips,Energy,30,117.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AGNC,AGNC Investment Corp. - Common Stock,,31,10.84,,,,,,,,,,,,,,,,,48,10.92,,16,10.9,0.00183486,3,11.07,-0.01535682,,,,,,,,,,,,
32,RIG,TRANSOCEAN LTD,Energy,32,5.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PANL,PANGAEA LOGISTICS SOLUTIONS,Industrials,33,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,34,9.48,,14,9.57,-0.00940439,,,,,,,,,,,,,,,,,,,,,,26,9.27,,,,,42,9.43,,,,
35,SR,SPIRE INC,Utilities,35,81.949997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NUS,NU SKIN ENTERPRISES CLASS A,Consumer Staples,36,5.495,,,,,,,,,,,,,,,,,50,5.23,,2,5.275,-0.00853081,,,,,,,,,,,,,,,
37,CRK,COMSTOCK RESOURCES,Energy,37,13.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MNKD,MANNKIND,Health Care,38,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,39,50.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,HPK,HIGHPEAK ENERGY INC,Energy,40,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MNTK,MONTAUK RENEWABLES INC,Utilities,41,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FISV,Fiserv,Financials,42,52.41,,18,54.110001,-0.03141750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CVCO,CAVCO INDUSTRIES,Consumer Discretionary,43,592.22998,,20,578.169983,0.02431810,2,587.72998,-0.01626597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MOS,Mosaic Company (The),Materials,44,23.07,,22,23.455,-0.01641441,3,23.42,0.00149445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,FC,FRANKLIN COVEY,Industrials,45,21.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LWAY,LIFEWAY FOODS INC,Consumer Staples,46,31.5,,9,31.059999,0.01416616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NL,NLI HOLDINGS INC,Industrials,47,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SENEA,SENECA FOODS CLASS A,Consumer Staples,48,178.820007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MDV,MODIV INDUSTRIAL INC CLASS C,Real Estate,49,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,50,50.464001,,36,50.775002,-0.00612508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
