rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,WDC,2026-07-02,2026-07-02,2026-08-12,462.915009,-0.1411595380333952,100.0,TRIM,True,6,硬止损: 持仓相对成本约 -14.1%，超过 -7% 防线; 派发聚集: 最近5日出现 2 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -10.8%; 动能转弱: 20日跌幅 -9.9%; 动能转弱: RSI 43.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -38.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3796617377929522,-0.1083555980546741,-0.0991067556517935,43.260003247171966,exit-risk-trends.html#ticker-wdc
2,IBM,2026-07-02,2026-07-02,2026-08-12,232.100006,-0.1983282162945924,94.0,TRIM,True,22,硬止损: 持仓相对成本约 -19.8%，超过 -7% 防线; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: RSI 46.4 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -29.5%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.2950217226703552,-0.01619189569508217,0.09895837735262858,46.40496342791719,exit-risk-trends.html#ticker-ibm
3,CMG,2026-07-02,2026-07-02,2026-08-12,32.790001,-0.07346702665914195,92.0,WATCH,True,7,硬止损: 持仓相对成本约 -7.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.0%; 动能转弱: RSI 46.2 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -14.9%,-0.1487538681204571,-0.049565188405797156,-0.05313312003658344,46.20756260425071,exit-risk-trends.html#ticker-cmg
4,NOK,2026-07-02,2026-07-02,2026-07-06,12.51,0.036454018227009,88.0,WATCH,True,28,利润保护: 收盘 $12.51 跌破 3ATR 动态保护线 $14.19; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -24.7%; 动能转弱: RSI 41.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -25.8%,-0.2575667655786351,-0.03843197540353571,-0.24729241877256325,41.59827405402243,exit-risk-trends.html#ticker-nok
5,ARM,2026-07-02,2026-07-02,2026-08-12,271.640015,-0.13841659521192773,82.0,SELL_NOW,True,29,硬止损: 持仓相对成本约 -13.8%，超过 -7% 防线; 动能转弱: RSI 47.6 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -38.2%; SELL_NOW: Gap Fade 叠加 Meta Exit，高开 +3.7% 后收阴回落，收盘位于日内区间 20%,-0.38187771227620126,-0.010707160533152793,-0.019385562998246897,47.61615012007165,exit-risk-trends.html#ticker-arm
6,HOOD,2026-06-26,2026-06-30,2026-08-12,94.238899,-0.0602423221005417,82.0,SELL_NOW,True,16,硬止损观察: 持仓约 -6.0% 且收盘跌破 EMA26; 动能转弱: 20日跌幅 -18.4%; 动能转弱: RSI 46.9 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -19.8%; SELL_NOW: Gap Fade 叠加 Meta Exit，高开 +2.9% 后收阴回落，收盘位于日内区间 10%,-0.19830798302914543,0.015505344326335768,-0.18436127588401185,46.94486979760938,exit-risk-trends.html#ticker-hood
7,QCOM,2026-07-02,2026-07-02,2026-08-12,163.5,-0.07234042553191489,82.0,SELL_NOW,True,29,硬止损: 持仓相对成本约 -7.2%，超过 -7% 防线; 动能转弱: 20日跌幅 -8.1%; 动能转弱: RSI 45.1 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -34.9%; SELL_NOW: Gap Fade 叠加 Meta Exit，高开 +2.6% 后收阴回落，收盘位于日内区间 7%,-0.3486574878709666,0.037897549913651574,-0.0813574352479478,45.11683367220789,exit-risk-trends.html#ticker-qcom
8,RCL,2026-06-26,2026-06-30,2026-08-12,305.579987,-0.03763427719470358,82.0,SELL_NOW,True,3,失败突破: 近20日高点后回撤 -6.7%，收盘跌回 EMA9 下方; 动能转弱: 5日跌幅 -6.7%; 动能转弱: RSI 48.9 低于50; 动能转弱: MACD 低于 signal; SELL_NOW: Failed Breakout 叠加 Meta Exit，高位突破失败后弱势确认,-0.06670339360105015,-0.06670339360105015,0.045897845101577905,48.92312071247254,exit-risk-trends.html#ticker-rcl
9,GOOG,2026-07-02,2026-07-02,2026-08-12,341.769989,-0.04045708429221073,77.0,TRIM,True,2,硬止损观察: 持仓约 -4.0% 且收盘跌破 EMA26; 新鲜破位: EMA9 新下穿 EMA26; 动能转弱: 5日跌幅 -5.1%; 动能转弱: RSI 45.3 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -14.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1435194935553442,-0.05098163370197373,-0.0768212708770466,45.302063582006404,exit-risk-trends.html#ticker-goog
10,AMKR,2026-07-02,2026-07-02,2026-08-12,56.650002,-0.18664751797135626,76.0,TRIM,True,29,硬止损: 持仓相对成本约 -18.7%，超过 -7% 防线; 动能转弱: 20日跌幅 -16.2%; 动能转弱: RSI 46.1 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -39.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.39444147318733924,0.051800983070906526,-0.16247778182255745,46.1342723058912,exit-risk-trends.html#ticker-amkr
11,EQR,2026-06-26,2026-06-30,2026-08-12,64.625,-0.04865302517297232,76.0,WATCH,True,5,硬止损观察: 持仓约 -4.9% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.6%; 动能转弱: RSI 35.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26,-0.07875982669252102,-0.045984619013422434,-0.053252298469021464,35.5600076407609,exit-risk-trends.html#ticker-eqr
12,ON,2026-07-02,2026-07-02,2026-08-12,83.82,-0.0811225709151221,76.0,TRIM,True,29,硬止损: 持仓相对成本约 -8.1%，超过 -7% 防线; 动能转弱: 20日跌幅 -9.4%; 动能转弱: RSI 45.7 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -37.4%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3741506430154148,0.08984521701494108,-0.09422953215658614,45.674177080780545,exit-risk-trends.html#ticker-on
