early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,CMG,Chipotle Mexican Grill,SPX,Consumer Discretionary,68.52,82.0,early_transition,61.8,bullish_above_signal_proxy,70.69,48.39,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,BX,Blackstone Inc.,SPX,Financials,68.09,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.13,46.68,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
3,GIS,General Mills,SPX,Consumer Staples,67.49,82.0,early_transition,61.8,bullish_above_signal_proxy,67.13,48.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,BA,Boeing,SPX,Industrials,67.43,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,60.13,46.28,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
5,LUV,Southwest Airlines,SPX,Industrials,67.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.2,49.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,UHS,Universal Health Services,SPX,Health Care,67.1,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,58.68,46.99,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
7,PM,Philip Morris International,SPX,Consumer Staples,67.02,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.33,46.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
8,NTRS,Northern Trust,NASDAQ+NASDAQ500+SPX,Financials,67.01,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.75,45.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,BNY,BNY Mellon,SPX,Financials,66.96,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.63,45.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
10,COO,Cooper Companies (The),NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,66.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.46,49.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
