early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,NASDAQ+RUSSELL2000,Communication,79.45,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,96.57,53.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
2,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,78.19,82.0,early_transition,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,MC,MOELIS CLASS A,RUSSELL2000,Financials,75.8,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,55.94,45.44,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,SI,SHOULDER INNOVATIONS INC,RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,74.97,82.0,early_transition,49.8,bullish_below_zero_proxy,99.35,54.12,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
7,ELVN,ENLIVEN THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,74.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,97.55,54.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,LWAY,LIFEWAY FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,73.8,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.63,53.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,73.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,95.3,54.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,ZURA,ZURA BIO LTD CLASS A,NASDAQ+RUSSELL2000,Health Care,73.67,82.0,early_transition,61.8,bullish_above_signal_proxy,85.87,52.42,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,VERA,VERA THERAPEUTICS INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,73.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.85,54.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,PGEN,PRECIGEN INC,NASDAQ+RUSSELL2000,Health Care,73.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.82,54.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,TRVI,TREVI THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,72.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.37,53.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,OFRM,ONCE UPON A FARM PBC,RUSSELL2000,Consumer Staples,72.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,92.38,53.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,OLPX,OLAPLEX HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Staples,72.47,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,70.87,49.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
16,ALMS,ALUMIS INC,NASDAQ+RUSSELL2000,Health Care,72.4,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,91.11,53.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,NAT,NORDIC AMERICAN TANKERS LTD,RUSSELL2000,Energy,72.18,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,70.43,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
18,IRWD,IRONWOOD PHARMA INC CLASS A,NASDAQ+RUSSELL2000,Health Care,71.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.61,53.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,NHI,NATIONAL HEALTH INVESTORS REIT INC,RUSSELL2000,Real Estate,71.44,82.0,early_transition,61.8,bullish_above_signal_proxy,79.57,50.16,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
