current_rank,ticker,name,sector,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,ZIP,ZIPRECRUITER INC CLASS A,Communication,1,3.97,,1383,3.31,0.19939577039274936,1432,3.24,0.021604938271604812,1805,3.01,0.07641196013289053,1313,3.005,-0.013114754098360715
2,CTKB,CYTEK BIOSCIENCES INC,Health Care,2,4.47,,716,4.28,0.04439252336448596,785,4.07,0.051597051597051635,1088,3.86,0.0544041450777204,1404,3.895,0.023872679045092715
3,SDGR,SCHRODINGER INC,Health Care,3,16.139999,,712,15.33,0.0528375081539465,744,15.04,0.01928191489361719,80,15.23,-0.012475377544320487,4,15.76,-0.03362944162436543
4,FWRD,FORWARD AIR CORP,Industrials,4,14.29,,8,13.39,0.0672143390589992,4,13.08,0.023700305810397504,6,13.71,-0.04595185995623641,14,13.62,0.006607929515418665
5,MBUU,MALIBU BOATS CLASS A INC,Consumer Discretionary,5,29.110001,,1284,27.389999,0.06279671642193208,1539,26.120001,0.04862166735751661,1233,26.370001,-0.009480469871806174,1115,26.75,-0.03229354128440376
6,TLSI,TRISALUS LF SC CM A,Health Care,6,4.37,,48,4.16,0.05048076923076916,151,4.03,0.032258064516129004,62,4.2,-0.04047619047619044,39,4.08,0.02941176470588247
7,TKNO,ALPHA TEKNOVA INC,Health Care,7,5.46,,1,5.2,0.050000000000000044,535,4.89,0.06339468302658502,1,5.16,-0.05232558139534893,273,5.02,-0.01526717557251911
8,QTRX,QUANTERIX CORP,Health Care,8,3.76,,10,3.78,-0.005291005291005346,148,3.22,0.17391304347826075,12,3.49,-0.07736389684813749,67,3.495,0.029498525073746285
9,RBKB,RHINEBECK BANCORP INC,Financials,9,17.23,,33,17.18,0.0029103608847498297,7,17.23,-0.0029019152640743506,511,16.700001,0.03173646516548123,736,17.275,-0.05059687322342232
10,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,Health Care,10,1.6,,706,1.44,0.11111111111111116,1544,1.31,0.09923664122137388,1493,1.32,-0.007575757575757569,1636,1.355,-0.05714285714285705
11,OMDA,OMADA HEALTH INC,Health Care,11,18.9,,765,18.6,0.01612903225806428,714,18.299999,0.016393498163579157,872,17.98,0.017797497219132374,731,18.095,0.01927438
12,MPAA,MOTORCAR PARTS OF AMERICA INC,Consumer Discretionary,12,14.91,,494,15.01,-0.0066622251832111345,465,14.95,0.004013377926421535,466,15.12,-0.011243386243386277,329,15.36,-0.015625
13,NSP,INSPERITY INC,Industrials,13,38.41,,725,38.110001,0.007871923173132345,695,37.040001,0.028887688204976003,1230,34.110001,0.08589856095284198,818,33.905,-0.05825510606694917
14,SSTI,SOUNDTHINKING INC,Information Technology,14,8.39,,6,8.3,0.010843373493975905,713,7.66,0.08355091383812008,1103,7.48,0.024064171122994527,611,7.51,-0.04591836734693866
15,MGNI,MAGNITE INC,Communication,15,17.32,,444,18.290001,-0.053034496826982136,300,18.0,0.016111166666666676,270,17.450001,0.03151856552902199,266,17.889999,-0.02459463524844241
16,ONT,ONTERRIS INC,Industrials,16,18.190001,,1120,17.799999,0.021910225950012574,1072,16.799999,0.05952381306689358,1232,16.309999,0.030042920296929454,1180,16.33,-0.0511926671790186
17,PHIN,PHINIA INC,Consumer Discretionary,17,85.010002,,645,83.489998,0.018205821492533802,1086,80.519997,0.03688525969517853,734,81.330002,-0.009959485799594492,1301,80.88,0.006808653216249683
18,EOLS,EVOLUS INC,Health Care,18,7.15,,734,6.97,0.02582496413199431,906,6.74,0.03412462908011871,1305,6.59,0.022761760242792084,1091,6.625,-0.006033182503770718
19,REAL,THE REALREAL INC,Consumer Discretionary,19,12.43,,467,12.86,-0.033437013996889586,572,12.21,0.053235053235053176,313,12.35,-0.011336032388663875,665,12.715,-0.008032128514056214
20,INMB,INMUNE BIO INC,Health Care,20,1.49,,1459,1.35,0.10370370370370363,459,1.42,-0.04929577464788726,1043,1.43,-0.006993006993006978,1025,1.4009,-0.01379310344827589
21,ICUI,ICU MEDICAL INC,Health Care,21,148.830002,,787,142.949997,0.04113329921930675,1196,135.520004,0.05482580269109194,1153,136.139999,-0.004554098755355396,135,136.13,-0.030134616732016006
22,AARD,AARDVARK THERAPEUTICS INC,Health Care,22,5.06,,1082,4.96,0.020161290322580516,1506,4.23,0.17257683215130015,1492,4.08,0.03676470588235303,1688,4.0027,0.03816793893129766
23,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,23,32.709999,,37,32.700001,0.0003057492261240302,31,32.959999,-0.007888289074280741,231,33.540001,-0.017292843849348483,982,33.66,-0.054412177772422576
24,NESR,NATIONAL ENERGY SERVICES REUNITED,Energy,24,26.98,,986,25.17,0.0719110051648788,990,25.07,0.00398883127243721,606,25.059999,0.00039908221863860227,1789,24.84,0.021189811687456706
25,NEOG,NEOGEN CORP,Health Care,25,9.51,,558,9.18,0.03594771241830075,1531,8.83,0.039637599093997666,361,8.92,-0.010089686098654682,335,9.105,-0.041890440386680994
26,CTEV,CLARITEV CORP CLASS A,Health Care,26,34.720001,,245,30.49,0.13873404394883582,577,30.059999,0.014304757628235354,992,28.440001,0.05696195299008622,827,29.64,-0.03331063902107423
27,FNWD,FINWARD BANCORP,Financials,27,34.290001,,57,34.139999,0.004393731821725977,58,34.119999,0.0005861664884574402,108,34.439999,-0.009291521756432108,104,34.0,0.007312079769291602
28,GETY,GETTY IMAGES HOLDINGS INC CLASS A,Communication,28,0.989,,12,0.94,0.05212765957446819,700,0.93,0.010752688172043001,806,1.15,-0.19130434782608685,1535,1.165,0.9008264462809916
29,ETD,ETHAN ALLEN INTERIORS INC,Consumer Discretionary,29,21.98,,472,22.68,-0.030864197530864113,41,21.66,0.047091412742382266,47,21.33,0.015471167369901728,433,21.52,0.007557864903164679
30,TRIP,TRIPADVISOR INC,Communication,30,12.8,,43,12.98,-0.013867488443759624,55,12.39,0.04761904761904767,551,12.36,0.0024271844660195274,164,12.97,-0.04703161141094847
31,PINE,ALPINE INCOME PROPERTY TRUST INC,Real Estate,31,20.25,,856,20.18,0.003468780971258578,1156,19.530001,0.033282077148895306,1196,19.26,0.014018743509864873,1369,19.12,0.006795661620264681
32,GCBC,GREENE COUNTY BANCORP INC,Financials,32,30.450001,,195,29.84,0.020442392761394146,820,28.709999,0.03935914452661593,10,29.09,-0.01306294259195595,19,29.42,-0.011216859279401858
33,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,33,89.349998,,78,88.830002,0.00585383303267295,161,84.220001,0.05473760324462584,83,86.07,-0.02149412106424997,227,85.86,-0.013411256611904121
34,CERS,CERUS CORP,Health Care,34,2.86,,1067,2.64,0.08333333333333326,1440,2.59,0.01930501930501949,1452,2.6,-0.0038461538461539435,516,2.58,-0.03703703703703709
35,RCMT,RCM TECHNOLOGIES INC,Industrials,35,27.469999,,553,28.15,-0.02415634103019526,108,27.790001,0.012954263657637188,113,27.389999,0.014603943578092249,122,26.63,0.038286582194335894
36,SIEB,SIEBERT FINANCIAL CORP,Financials,36,1.95,,389,1.89,0.031746031746031855,552,1.87,0.010695187165775222,535,1.84,0.016304347826086918,95,1.94,-0.04166666666666663
37,NAT,NORDIC AMERICAN TANKERS LTD,Energy,37,6.26,,784,6.47,-0.03245749613601234,863,6.46,0.001547987616099089,954,6.21,0.040257648953301084,117,6.185,0.06153846153846154
38,RSI,RUSH STREET INTERACTIVE INC CLASS,Consumer Discretionary,38,30.360001,,121,29.83,0.017767381830372075,143,29.51,0.01084378176889178,661,30.52,-0.03309305373525551,570,30.535,0.04915778618081812
39,AVBP,ARRIVENT BIOPHARMA INC,Health Care,39,33.825001,,60,32.02,0.05637104934415982,30,33.740002,-0.050978123830579314,68,32.700001,0.031804310953996495,172,33.02,0.030245778197857565
40,CARG,CARGURUS INC CLASS A,Communication,40,31.030001,,1029,31.200001,-0.0054487177740796255,1073,30.440001,0.02496714766862196,1084,30.08,0.011968118351063817,1096,30.395,0.0019986675549632515
41,CURV,TORRID HOLDINGS INC,Consumer Discretionary,41,2.08,,414,2.1,-0.00952380952380949,46,1.95,0.0769230769230771,96,1.91,0.020942408376963373,503,1.88,-0.010362694300518172
42,AZTA,AZENTA INC,Health Care,42,24.629999,,11,23.860001,0.032271499066576004,689,22.200001,0.07477477140654187,57,22.27,-0.0031431971261787206,1,23.309999,-0.044616003630030265
43,HTFL,HEARTFLOW INC,Health Care,43,34.98,,104,34.91,0.002005156115726159,122,34.48,0.0124709976798143,37,33.84,0.01891252955082723,17,33.639999,0.005945333113713813
44,ICHR,ICHOR HOLDINGS LTD,Information Technology,44,95.029999,,177,89.379997,0.06321327130946308,13,92.199997,-0.030585684292375737,505,99.610001,-0.07439016088354422,587,97.06,0.010140959231913937
45,SAFE,SAFEHOLD INC,Real Estate,45,15.69,,791,15.74,-0.0031766200762389785,842,15.53,0.013522215067611087,1147,15.21,0.02103879026955946,1357,15.33,-0.008474576271186418
46,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,46,22.82,,85,22.17,0.02931889941362198,591,22.9,-0.03187772925764176,78,22.129999,0.03479444350630101,58,22.02,0.037019634489222186
47,SBFG,SB FINANCIAL GROUP INC,Financials,47,23.43,,59,23.809999,-0.01595963947751533,88,23.15,0.02850967602591803,120,23.030001,0.005210551228373772,87,23.02,0.0008692307692306223
48,PRKS,UNITED PARKS AND RESORTS INC,Consumer Discretionary,48,46.400002,,603,46.869999,-0.01002767249899017,554,46.27,0.012967343851307378,371,46.040001,0.004995634122597181,895,46.135,-0.012864451390747433
49,POWW,OUTDOOR HOLDING,Consumer Discretionary,49,2.2,,545,2.34,-0.05982905982905973,670,2.25,0.040000000000000036,842,2.21,0.018099547511312153,85,2.115,0.032710280373831724
50,IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,50,61.16,,902,61.080002,0.0013097249079985218,853,60.66,0.006923870755028094,1169,59.310001,0.022761742998453016,802,59.13,-0.004865721639789267
51,EVH,EVOLENT HEALTH INC CLASS A,Health Care,51,5.03,,392,5.03,0.0,651,4.8,0.04791666666666683,1158,4.48,0.0714285714285714,829,4.515,-0.00222717149220486
52,ERAS,ERASCA INC,Health Care,52,14.95,,55,15.05,-0.006644518272425293,89,15.07,-0.0013271400132713884,24,15.08,-0.0006631299734748408,12,13.67,0.103145574250183
53,XZO,EXZEO GROUP INC,Financials,53,14.71,,1012,14.43,0.01940401940401948,1199,13.61,0.0602498163115357,1161,13.43,0.013402829486224954,1337,13.39,0.012057272042200529
54,SXT,SENSIENT TECHNOLOGIES CORP,Materials,54,121.82,,875,120.900002,0.007609578037889531,781,118.739998,0.01819103955181145,762,119.07,-0.0027714957587973155,1226,118.2,0.04925975372066205
