early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1050,BUSE,FIRST BUSEY CORP,NASDAQ+RUSSELL2000,Financials,48.5,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.8,46.01,12.53,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1051,FIBK,FIRST INTERSTATE BANCSYSTEM INC,NASDAQ+RUSSELL2000,Financials,48.49,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,55.81,45.41,11.55,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1052,APLE,APPLE HOSPITALITY REIT INC,RUSSELL2000,Real Estate,48.49,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,64.98,47.25,14.57,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1053,NVRI,ENVIRI CORP,RUSSELL2000,Industrials,48.46,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,52.65,44.78,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1054,NOVT,NOVANTA INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,48.43,72.0,confirmed_bullish_trend,25.0,bearish_proxy,46.79,43.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1055,XRX,XEROX HOLDINGS CORP,NASDAQ+RUSSELL2000,Information Technology,48.4,72.0,confirmed_bullish_trend,25.0,bearish_proxy,46.7,43.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1056,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,RUSSELL2000,Consumer Discretionary,48.38,72.0,confirmed_bullish_trend,25.0,bearish_proxy,46.64,43.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1057,SMTI,SANARA MEDTECH INC,NASDAQ+RUSSELL2000,Health Care,48.37,72.0,confirmed_bullish_trend,25.0,bearish_proxy,46.17,44.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1058,BV,BRIGHTVIEW HOLDINGS INC,RUSSELL2000,Industrials,48.34,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.26,47.3,14.83,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1059,CON,CONCENTRA GROUP HOLDINGS PARENT IN,RUSSELL2000,Health Care,48.32,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.09,48.87,15.93,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
