current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,BNTX,BioNTech SE - American Depositary Shares,,1,93.699997,,1,93.669998,0.00032026,,,,,,,,,,,,,,,,,,,6,92.949997,,,,,,,,,,,,,,,,
2,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,2,102.849998,,8,102.849998,0.00000000,,,,,,,,,,,,,,,,,,,40,101.889999,,40,101.199997,0.00681820,,,,,,,,,,,,
3,SR,SPIRE INC,Utilities,3,81.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,82.57,,,,
4,GPOR,GULFPORT ENERGY,Energy,4,165.25,,43,162.770004,0.01523620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MNSB,MAINSTREET BANCSHARES INC,Financials,5,24.1,,16,24.1,0.00000000,28,24.059999,0.00166255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,COHR,Coherent Corp.,Information Technology,6,343.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OXY,Occidental Petroleum,Energy,7,57.674999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,8,93.885002,,6,93.959999,-0.00079818,,,,,,,,,,,,,,,,,,,,,,14,92.900002,,,,,,,,,,,,,
9,QUBT,QUANTUM COMPUTING,Information Technology,9,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TTWO,Take-Two Interactive,Communication Services,10,252.218994,,,,,,,,,,,,,,,,,,,,,,,,,,7,247.619995,,,,,,,,,,,,,
