current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,BNTX,BioNTech SE - American Depositary Shares,,1,93.699997,,1,93.669998,0.00032026,,,,,,,,,,,,,,,,,,,3,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
2,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,2,42.16,,35,41.720001,0.01054648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PCYO,PURE CYCLE CORP,Utilities,3,10.815,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.76,,,,,,,,,,,,,,,,,,,,,,
4,IPI,INTREPID POTASH INC,Materials,4,35.950001,,,,,,,,,,,,,,,,,,,,47,35.32,,43,35.470001,-0.00422895,,,,,,,,,,,,,,,,,,,,,,,,
5,SOUN,SOUNDHOUND AI CLASS A,Information Technology,5,7.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RL,Ralph Lauren Corporation,Consumer Discretionary,6,401.859985,,2,395.73999,0.01546469,9,395.700012,0.00010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LYEL,LYELL IMMUNOPHARMA,Health Care,7,14.29,,46,14.71,-0.02855201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ASPN,ASPEN AEROGELS,Materials,8,6.6688,,3,6.25,0.06700800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WBD,Warner Bros. Discovery,Communication Services,9,26.885,,4,26.780001,0.00392080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ONL,ORION PROPERTIES,Real Estate,10,2.7576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TPB,TURNING POINT BRANDS INC,Consumer Staples,11,88.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MNSB,MAINSTREET BANCSHARES INC,Financials,12,24.1,,14,24.1,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GNL,GLOBAL NET LEASE INC,Real Estate,13,9.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,9.26,
14,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,14,13.6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13.615,,,,,,,,,,
15,SLVM,SYLVAMO CORP,Materials,15,40.018398,,5,41.0,-0.02394151,,,,41,38.715,,10,39.360001,-0.01638722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TTWO,Take-Two Interactive,Communication Services,16,252.218994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MDV,MODIV INDUSTRIAL INC CLASS C,Real Estate,17,18.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CHDN,"Churchill Downs, Incorporated - Common Stock",,18,87.709999,,,,,29,86.879997,,,,,,,,,,,,,,,,,46,88.529999,,,,,,,,,,,,,,,,,,,,,,,,,
19,RICK,RCI HOSPITALITY HOLDINGS INC,Consumer Discretionary,19,26.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FDX,FedEx,Industrials,20,320.545013,,19,318.549988,0.00626283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SANA,SANA BIOTECHNOLOGY INC,Health Care,21,3.6,,9,3.52,0.02272727,50,3.41,0.03225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,EGY,VAALCO ENERGY INC,Energy,22,5.629,,27,5.555,0.01332133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,23,43.130001,,8,43.52,-0.00896137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TEX,TEREX,Industrials,24,67.214996,,12,67.730003,-0.00760382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,68.480003,,,,,,,,,,,,,
25,TT,Trane Technologies,Industrials,25,482.035309,,,,,,,,28,483.549988,,,,,,,,,,,,,,,,,,,,,,,43,481.244995,,,,,,,,,,,,,,,,
26,ABR,ARBOR REALTY TRUST REIT,Financials,26,5.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AEVA,AEVA TECHNOLOGIES INC,Information Technology,27,24.4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LYTS,LSI INDUSTRIES INC,Industrials,28,24.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LZM,LIFEZONE METALS LTD,Materials,29,3.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SBGI,SINCLAIR CLASS A,Communication,30,14.67,,15,14.2,0.03309859,2,14.76,-0.03794038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OVID,OVID THERAPEUTICS,Health Care,31,2.575,,10,2.63,-0.02091255,33,2.65,-0.00754717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NUS,NU SKIN ENTERPRISES CLASS A,Consumer Staples,32,5.2411,,13,5.495,-0.04620564,,,,,,,34,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MZTI,MARZETTI,Consumer Staples,33,114.389999,,16,113.480003,0.00801900,,,,20,111.260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials,34,39.959999,,,,,,,,,,,27,38.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OLMA,OLEMA PHARMACEUTICALS,Health Care,35,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LTRX,LANTRONIX INC,Information Technology,36,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PDYN,PALLADYNE AI CORP,Industrials,37,6.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MRCY,MERCURY SYSTEMS INC,Industrials,38,109.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PPG,PPG Industries,Materials,39,116.635002,,20,119.68,-0.02544283,,,,47,119.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ABUS,ARBUTUS BIOPHARMA CORP,Health Care,40,4.6,,25,4.63,-0.00647948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CRVL,CORVEL,Health Care,41,62.355,,21,62.560001,-0.00327687,46,62.450001,0.00176141,37,62.57,-0.00191784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GLNG,GOLAR LNG,Energy,42,51.18,,23,50.43,0.01487210,6,51.02,-0.01156409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,WVE,WAVE LIFE SCIENCES,Health Care,43,6.075,,22,6.1,-0.00409836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GYRE,GYRE THERAPEUTICS,Health Care,44,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AEIS,"Advanced Energy Industries, Inc. - Common Stock",,45,327.630005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SR,SPIRE INC,Utilities,46,81.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PTEN,PATTERSON UTI ENERGY INC,Energy,47,10.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,10.34,,,,,,,,,,,,,
48,CVCO,CAVCO INDUSTRIES,Consumer Discretionary,48,585.799988,,,,,45,578.169983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,GPOR,GULFPORT ENERGY,Energy,49,165.25,,40,162.770004,0.01523620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,REAX,REAL BROKERAGE,Real Estate,50,2.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
