current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,SDRL,SEADRILL,Energy,1,45.48,,7,43.314999,0.04998271,,,,,,,,,,,,,3,44.825001,,,,,,,,,,,,,,33,44.93,,,,,,,,20,43.959999,,28,42.456001,0.03542486,,,
2,REPX,RILEY EXPLORATION PERMIAN INC,Energy,2,35.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35.27,,,,,16,35.0,
3,COHR,Coherent Corp.,Information Technology,3,343.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TTWO,Take-Two Interactive,Communication Services,4,252.218994,,,,,,,,,,,,,,,,,,,,,,,,,,21,247.619995,,,,,,,,,,,,,,,,,,,,,,
5,BNTX,BioNTech SE - American Depositary Shares,,5,93.699997,,3,93.669998,0.00032026,,,,,,,,,,,,,,,,,,,4,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
6,GPOR,GULFPORT ENERGY,Energy,6,165.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TALO,TALOS ENERGY,Energy,7,15.26,,,,,,,,,,,,,,,,,4,15.185,,,,,,,,,,,,,,,,,25,15.265,,30,15.27,-0.00032744,,,,,,,,,
8,PATK,PATRICK INDUSTRIES,Consumer Discretionary,8,87.135002,,11,88.839996,-0.01919174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,9,37.310001,,5,38.669998,-0.03516931,35,38.220001,0.01177386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WBD,Warner Bros. Discovery,Communication Services,10,26.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SR,SPIRE INC,Utilities,11,81.589996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,82.57,,,,,,,,,,,,,
12,JBL,Jabil,Information Technology,12,345.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RGTI,RIGETTI COMPUTING,Information Technology,13,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FER,Ferrovial N.V. - Ordinary Shares,,14,66.010002,,22,66.510002,-0.00751767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,USAU,US GOLD CORP,Materials,15,15.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DAN,DANA INCORPORATED INC,Consumer Discretionary,16,29.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VAL,VALARIS LTD,Energy,17,83.260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BBW,BUILD A BEAR WORKSHOP,Consumer Discretionary,18,36.238701,,,,,,,,,,,,,,,,,,,,,,,32,35.57,,32,35.310001,0.00736332,,,,,,,,,,,,,,,,,,,,,
19,CEG,Constellation Energy,Utilities,19,274.040009,,,,,,,,,,,40,267.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,QBTS,D WAVE QUANTUM,Information Technology,20,20.665001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TEX,TEREX,Industrials,21,67.214996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,68.480003,,,,,,,,,,,,,
22,FDX,FedEx,Industrials,22,320.545013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,23,102.849998,,10,102.849998,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TW,Tradeweb Markets Inc. - Class A Common Stock,,24,104.402496,,,,,26,103.32,,,,,,,,,,,,,,,,,,,,,,,27,102.014999,,,,,,,,,,,,,,,,,,,
25,LULU,Lululemon Athletica,Consumer Discretionary,25,125.894997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,QUBT,QUANTUM COMPUTING,Information Technology,26,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,GLNG,GOLAR LNG,Energy,27,51.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,28,93.885002,,21,93.959999,-0.00079818,,,,,,,,,,,,,,,,,,,,,,29,92.900002,,,,,,,,,,,,,,,,,,,,,,
29,PEGA,Pegasystems Inc. - Common Stock,,29,32.695,,,,,45,31.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,30,26.530001,,16,26.68,-0.00562215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CRWV,"CoreWeave, Inc. - Class A Common Stock",,31,91.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OXY,Occidental Petroleum,Energy,32,57.674999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,55.205002,,,,
33,JNJ,Johnson & Johnson,Health Care,33,259.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,259.23999,,,,,,,,,,,,,
34,OGS,ONE GAS,Utilities,34,79.32,,15,80.230003,-0.01134243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,80.029999,,,,,,,,,,,,,
35,ADEA,ADEIA,Information Technology,35,28.280001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,EFX,Equifax,Industrials,36,180.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,180.080002,,,,
37,WS,WORTHINGTON STEEL INC,Materials,37,37.718399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TMDX,TRANSMEDICS GROUP,Health Care,38,84.690102,,,,,34,80.209999,,,,,26,80.75,,46,81.550003,-0.00980997,,,,,,,,,,7,76.290001,,,,,,,,,,,,,,,,,,,,,,
39,WFRD,Weatherford International plc - Ordinary shares,,39,90.110001,,,,,23,88.959999,,12,87.529999,0.01633726,12,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,40,42.16,,13,41.720001,0.01054648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,GOLD,GOLD INC,Consumer Discretionary,41,43.23,,,,,,,,,,,,,,15,42.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,42,189.220001,,,,,27,188.229996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,43,16.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16.290001,,31,16.18,0.00679858,,,,,,
44,BKE,BUCKLE,Consumer Discretionary,44,46.110001,,47,45.919998,0.00413770,25,45.740002,0.00393520,,,,,,,,,,17,43.73,,16,44.009998,-0.00636215,8,45.009998,-0.02221729,,,,,,,,,,,,,,,,,,,,,,,,
45,ENSG,"The Ensign Group, Inc. - Common Stock",,45,183.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,178.070007,,,,,,,,,,,,,,26,172.039993,,38,171.279999,0.00443714
46,OSIS,OSI SYSTEMS,Information Technology,46,236.490005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DOX,Amdocs Limited - Ordinary Shares,,47,57.895,,12,58.549999,-0.01118700,,,,,,,,,,,,,45,55.720001,,21,55.279999,0.00795952,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CWCO,CONSOLIDATED WATER LTD,Utilities,48,30.1,,30,30.49,-0.01279108,20,29.92,0.01905080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,EQT,EQT Corporation,Energy,49,52.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MNSB,MAINSTREET BANCSHARES INC,Financials,50,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
