rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
41,CL,Colgate-Palmolive,Consumer Staples,80.0,优先Call候选,90.980003,46.23,0.54,-0.01173143,-0.00230287,-0.00366861,51.7,47.82,46.0,66.8,30.0,100.0,confirmed_bearish_trend,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.4%；RSI 51.3；extension 0.2ATR；量能 0.8x；MACD 不转弱；4H辅助 65.0；MACD 保持多头
42,HIG,Hartford (The),Financials,80.0,优先Call候选,138.600006,49.47,0.55,-0.00893815,0.01182662,-0.02353104,51.7,40.38,53.7,66.8,30.0,100.0,bearish_transition,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 52.3；extension 0.4ATR；量能 0.8x；MACD 不转弱；4H辅助 62.0；MACD 保持多头
43,CNC,Centene Corporation,Health Care,80.0,优先Call候选,64.540001,45.72,0.61,-0.01450599,0.00093049,0.05699312,37.3,48.47,72.6,50.0,30.0,100.0,bearish_transition,fresh_bearish_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.4%；RSI 53.9；extension 0.6ATR；量能 0.9x；MACD 不转弱；日线辅助 0.0
44,ENTG,"Entegris, Inc. - Common Stock",,80.0,优先Call候选,134.949997,38.74,0.94,-0.05318180,-0.05225087,0.11152288,32.9,48.9,49.3,30.8,68.0,100.0,bearish_transition,mixed_or_bearish,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.2%；RSI 51.0；extension 0.2ATR；量能 0.9x；MACD 不转弱；日线辅助 0.0
45,AGIO,AGIOS PHARMACEUTICALS,Health Care,80.0,优先Call候选,33.445,47.27,0.4,-0.01603419,0.01057559,0.00360087,87.7,41.29,61.4,66.8,30.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 56.5；extension 0.9ATR；量能 1.2x；MACD 不转弱；日线辅助 63.0；EMA 早期转强；MACD 保持多头
46,ATEC,ALPHATEC HOLDNGS,Health Care,80.0,优先Call候选,9.575,54.55,0.45,0.01591512,0.03178879,-0.00467775,92.8,53.33,81.1,81.26,30.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.8%；RSI 54.9；extension 0.6ATR；量能 1.1x；MACD 不转弱；日线辅助 72.0；EMA9/26 新多头交叉；MACD 新金叉
47,WRLD,WORLD ACCEPTANCE CORP,Financials,80.0,优先Call候选,190.860001,51.61,2.15,-0.00015715,0.01564497,0.03312762,87.7,58.94,100.0,68.06,100.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 54.6；extension 0.6ATR；量能 1.1x；MACD 不转弱；日线辅助 0.0；EMA 早期转强；MACD 保持多头
48,RES,RPC INC,Energy,80.0,优先Call候选,6.3701,58.11,1.04,0.03747557,-0.00155172,0.18074143,64.3,77.06,62.9,81.26,68.0,45.0,confirmed_bullish_trend,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 2.0%；RSI 58.9；extension 1.3ATR；量能 0.9x；MACD 不转弱；4H辅助 0.0；EMA 多头延续
49,USPH,US PHYSICAL THERAPY INC,Health Care,80.0,优先Call候选,79.264999,53.31,0.35,0.01077533,0.00233937,-0.01454589,67.6,53.41,69.9,81.26,30.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.1%；RSI 51.0；extension 0.1ATR；量能 0.9x；MACD 不转弱；日线辅助 0.0；MACD 新金叉
50,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,80.0,优先Call候选,70.660004,55.47,1.47,0.00583636,0.03100605,0.04141498,75.1,54.52,100.0,81.26,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.1%；RSI 54.8；extension 0.5ATR；量能 1.1x；MACD 不转弱；日线辅助 0.0；EMA 多头延续；MACD 保持多头
