rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,99.38,Deep v3 Daily CNN 确认层 强确认,35.580002,55.88,1.59,0.01180154,0.04004686,0.06208961,87.7,48.45,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 99.4,Deep v3 Daily CNN 确认层,yes,99.38,2026-09-09
2,MRVL,Marvell Technology,Information Technology,98.42,Deep v3 Daily CNN 确认层 强确认,235.009995,58.51,0.35,0.02409796,0.11718004,0.12682200,90.4,73.36,90.2,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 98.4,Deep v3 Daily CNN 确认层,yes,98.42,2026-09-09
3,COHU,COHU,Information Technology,97.36,Deep v3 Daily CNN 确认层 强确认,56.68,67.96,2.06,0.07216491,0.28322397,0.14690413,90.4,58.0,66.4,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 97.4,Deep v3 Daily CNN 确认层,yes,97.36,2026-09-09
4,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,96.04,Deep v3 Daily CNN 确认层 强确认,287.938995,60.16,1.04,0.00974537,0.06640119,0.08684937,87.7,74.31,100.0,80.89,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 96.0,Deep v3 Daily CNN 确认层,yes,96.04,2026-09-09
5,RSI,RUSH STREET INTERACTIVE CLASS A,Consumer Discretionary,95.87,Deep v3 Daily CNN 确认层 强确认,26.73,53.99,0.81,0.01020412,0.03805825,0.08087343,87.7,48.45,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 95.9,Deep v3 Daily CNN 确认层,yes,95.87,2026-09-09
6,LRCX,Lam Research,Information Technology,94.28,Deep v3 Daily CNN 确认层 强确认,315.839996,56.89,0.82,-0.01373968,0.08771568,0.03111227,90.4,72.86,74.0,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 94.3,Deep v3 Daily CNN 确认层,yes,94.28,2026-09-09
7,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,92.08,Deep v3 Daily CNN 确认层 强确认,277.700012,65.56,0.85,0.02695909,0.16896790,0.20618519,87.7,73.91,80.4,81.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.1,Deep v3 Daily CNN 确认层,yes,92.08,2026-09-09
8,CECO,CECO ENVIRONMENTAL,Industrials,91.2,Deep v3 Daily CNN 确认层 强确认,78.300003,62.85,1.08,-0.02180018,0.10953667,0.11158434,87.7,72.63,74.0,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 91.2,Deep v3 Daily CNN 确认层,yes,91.2,2026-09-09
9,CLB,CORE LABORATORIES,Energy,91.03,Deep v3 Daily CNN 确认层 强确认,12.63,58.39,1.11,0.00000000,0.01772764,0.03355155,82.9,65.79,100.0,80.89,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 91.0,Deep v3 Daily CNN 确认层,yes,91.03,2026-09-09
10,XPRO,EXPRO LTD,Energy,89.18,Deep v3 Daily CNN 确认层 强确认,18.184999,54.23,1.11,0.00915644,0.03206572,0.01933851,82.9,53.73,88.8,80.89,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 89.2,Deep v3 Daily CNN 确认层,yes,89.18,2026-09-09
