early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1695,NPWR,NET POWER INC CLASS A,RUSSELL2000,Industrials,28.27,18.0,bearish_transition,26.35,bearish_proxy,33.78,41.01,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1696,TRAK,REPOSITRAK INC,RUSSELL2000,Information Technology,28.23,15.0,bearish_transition,25.0,bearish_proxy,37.4,41.73,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1697,OFIX,ORTHOFIX MEDICAL INC,NASDAQ+RUSSELL2000,Health Care,28.16,15.0,bearish_transition,49.8,bullish_below_zero_proxy,17.94,38.84,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
1698,MUR,MURPHY OIL CORP,RUSSELL2000,Energy,28.03,15.0,bearish_transition,25.0,bearish_proxy,36.81,41.61,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1699,AMPX,AMPRIUS TECHNOLOGIES INC,RUSSELL2000,Industrials,28.0,15.0,bearish_transition,25.0,bearish_proxy,36.7,41.59,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1700,TIC,TIC SOLUTIONS INC,RUSSELL2000,Industrials,27.95,15.0,bearish_transition,20.0,fresh_bearish_cross_proxy,40.33,42.32,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
1701,APPN,APPIAN CORP CLASS A,NASDAQ+RUSSELL2000,Information Technology,27.93,18.0,bearish_transition,25.0,bearish_proxy,33.76,41.0,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1702,AVAV,AEROVIRONMENT INC,NASDAQ+NASDAQ200+NASDAQ500+RUSSELL2000,Industrials,27.93,18.0,bearish_transition,25.0,bearish_proxy,33.77,41.0,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1703,WEAV,WEAVE COMMUNICATIONS INC,RUSSELL2000,Information Technology,27.9,18.0,bearish_transition,25.0,bearish_proxy,33.66,40.98,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1704,MLAB,MESA LABORATORIES INC,NASDAQ+RUSSELL2000,Health Care,27.84,15.0,bearish_transition,25.0,bearish_proxy,35.76,42.4,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1705,ACHR,ARCHER AVIATION INC CLASS A,RUSSELL2000,Industrials,27.84,15.0,bearish_transition,25.0,bearish_proxy,36.22,41.49,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1706,REPX,RILEY EXPLORATION PERMIAN INC,RUSSELL2000,Energy,27.84,18.0,bearish_transition,26.35,bearish_proxy,32.47,40.74,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1707,LZ,LEGALZOOM COM INC,NASDAQ+RUSSELL2000,Industrials,27.81,18.0,bearish_transition,26.35,bearish_proxy,32.39,40.73,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1708,TNDM,TANDEM DIABETES CARE INC,NASDAQ+RUSSELL2000,Health Care,27.75,15.0,bearish_transition,25.0,bearish_proxy,35.49,42.35,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1709,RPAY,REPAY HOLDINGS CORP CLASS A,NASDAQ+RUSSELL2000,Financials,27.74,18.0,bearish_transition,25.0,bearish_proxy,33.19,40.89,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1710,DAN,DANA INCORPORATED INC,RUSSELL2000,Consumer Discretionary,27.74,15.0,bearish_transition,25.0,bearish_proxy,35.93,41.44,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1711,PI,IMPINJ INC,NASDAQ+RUSSELL2000,Information Technology,27.67,15.0,bearish_transition,25.0,bearish_proxy,35.7,41.39,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1712,KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,NASDAQ+NASDAQ200+NASDAQ500+RUSSELL2000,Industrials,27.65,18.0,bearish_transition,26.35,bearish_proxy,31.9,40.63,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1713,PUMP,PROPETRO HOLDING CORP,RUSSELL2000,Energy,27.65,15.0,bearish_transition,25.0,bearish_proxy,35.65,41.38,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1714,OPAL,OPAL FUELS INC CLASS A,NASDAQ+RUSSELL2000,Energy,27.61,18.0,bearish_transition,25.0,bearish_proxy,32.79,40.81,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1715,LAKE,LAKELAND INDUSTRIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,27.6,15.0,bearish_transition,25.0,bearish_proxy,35.51,41.35,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1716,RBBN,RIBBON COMMUNICATIONS INC,NASDAQ+RUSSELL2000,Information Technology,27.59,15.0,bearish_transition,25.0,bearish_proxy,35.45,41.34,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1717,EVI,EVI INDUSTRIES INC,RUSSELL2000,Industrials,27.59,15.0,bearish_transition,25.0,bearish_proxy,35.46,41.34,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1718,CSR,CENTERSPACE,RUSSELL2000,Real Estate,27.58,15.0,bearish_transition,25.0,bearish_proxy,35.42,41.33,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1719,IBTA,IBOTTA INC CLASS A,RUSSELL2000,Communication,27.58,18.0,bearish_transition,25.0,bearish_proxy,32.72,40.79,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1720,EPSN,EPSILON ENERGY LTD,NASDAQ+RUSSELL2000,Energy,27.57,18.0,bearish_transition,26.35,bearish_proxy,31.66,40.58,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1721,HP,HELMERICH & PAYNE INC,RUSSELL2000,Energy,27.55,15.0,bearish_transition,25.0,bearish_proxy,35.35,41.32,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1722,CURI,CURIOSITYSTREAM INC CLASS A,NASDAQ+RUSSELL2000,Communication,27.49,15.0,bearish_transition,25.0,bearish_proxy,35.17,41.28,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1723,IPI,INTREPID POTASH INC,RUSSELL2000,Materials,27.48,18.0,bearish_transition,26.35,bearish_proxy,31.39,40.53,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1724,HLX,HELIX ENERGY SOLUTIONS GROUP INC,RUSSELL2000,Energy,27.43,15.0,bearish_transition,25.0,bearish_proxy,34.96,41.24,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1725,TUSK,MAMMOTH ENERGY SERVICES INC,NASDAQ+RUSSELL2000,Energy,27.37,18.0,bearish_transition,26.35,bearish_proxy,31.05,40.46,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1726,CDXS,CODEXIS INC,NASDAQ+RUSSELL2000,Health Care,27.35,18.0,bearish_transition,26.35,bearish_proxy,30.53,41.36,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1727,SITC,SITE CENTERS CORP,RUSSELL2000,Real Estate,27.33,15.0,bearish_transition,25.0,bearish_proxy,34.67,41.18,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
