early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ROK,Rockwell Automation,SPX,Industrials,71.31,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,61.32,52.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,GLW,Corning Inc.,SPX,Information Technology,70.68,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,62.14,46.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,IP,International Paper,SPX,Materials,70.4,85.0,early_transition,61.8,bullish_above_signal_proxy,73.67,48.98,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,ANET,Arista Networks,SPX,Information Technology,69.7,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,78.03,53.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,VST,Vistra Corp.,SPX,Utilities,69.51,85.0,early_transition,61.8,bullish_above_signal_proxy,70.54,49.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,BIIB,Biogen,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,69.49,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,58.08,46.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,COHR,Coherent Corp.,SPX,Information Technology,68.95,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,56.9,45.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
8,IRM,Iron Mountain,SPX,Real Estate,68.62,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,55.91,45.43,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,NCLH,Norwegian Cruise Line Holdings,SPX,Consumer Discretionary,68.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.02,50.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,BNY,BNY Mellon,SPX,Financials,68.21,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,58.41,45.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
11,UAL,United Airlines Holdings,NASDAQ200+SPX,Industrials,68.18,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,75.02,49.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,GPC,Genuine Parts Company,SPX,Consumer Discretionary,67.96,85.0,early_transition,61.8,bullish_above_signal_proxy,66.28,47.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,PWR,Quanta Services,SPX,Industrials,67.67,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,56.77,45.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
14,MRNA,Moderna,NASDAQ+NASDAQ500+SPX,Health Care,67.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,76.69,50.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,RCL,Royal Caribbean Group,SPX,Consumer Discretionary,67.11,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.52,49.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
