universe,date,ticker,name,sector,predicted_rank,score,price,next_date,next_return
SPX,2026-06-20,ROK,Rockwell Automation,Industrials,171,53.12,479.135,2026-06-22,-0.0022018846462896757
SPX,2026-06-22,ROK,Rockwell Automation,Industrials,1,71.31,478.08,,
SPX,2026-06-20,GLW,Corning Inc.,Information Technology,158,54.42,208.82,2026-06-22,0.004836701465376958
SPX,2026-06-22,GLW,Corning Inc.,Information Technology,2,70.68,209.83,,
SPX,2026-06-20,IP,International Paper,Materials,2,70.77,37.405,2026-06-22,-0.013768212805774671
SPX,2026-06-22,IP,International Paper,Materials,3,70.4,36.89,,
SPX,2026-06-20,ANET,Arista Networks,Information Technology,19,66.18,174.575,2026-06-22,-8.592295574960662e-05
SPX,2026-06-22,ANET,Arista Networks,Information Technology,4,69.7,174.56,,
SPX,2026-06-20,VST,Vistra Corp.,Utilities,15,66.54,169.585,2026-06-22,-0.013709938968658908
SPX,2026-06-22,VST,Vistra Corp.,Utilities,5,69.51,167.26,,
SPX,2026-06-20,BIIB,Biogen,Health Care,304,39.44,199.03,2026-06-22,0.0034165703662765168
SPX,2026-06-22,BIIB,Biogen,Health Care,6,69.49,199.71,,
SPX,2026-06-20,COHR,Coherent Corp.,Information Technology,222,46.98,433.725,2026-06-22,-0.019009741195457952
SPX,2026-06-22,COHR,Coherent Corp.,Information Technology,7,68.95,425.48,,
SPX,2026-06-20,IRM,Iron Mountain,Real Estate,200,50.85,132.205,2026-06-22,-0.002609583601225318
SPX,2026-06-22,IRM,Iron Mountain,Real Estate,8,68.62,131.86,,
SPX,2026-06-20,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1,74.28,20.145,2026-06-22,-0.005212211466865235
SPX,2026-06-22,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,9,68.27,20.04,,
SPX,2026-06-20,BNY,BNY Mellon,Financials,195,51.32,146.02,2026-06-22,0.0028763183125597447
SPX,2026-06-22,BNY,BNY Mellon,Financials,10,68.21,146.44,,
SPX,2026-06-20,UAL,United Airlines Holdings,Industrials,4,69.68,119.47,2026-06-22,-0.006612538712647442
SPX,2026-06-22,UAL,United Airlines Holdings,Industrials,11,68.18,118.68,,
SPX,2026-06-20,GPC,Genuine Parts Company,Consumer Discretionary,160,54.17,106.305,2026-06-22,-0.011241239828794547
SPX,2026-06-22,GPC,Genuine Parts Company,Consumer Discretionary,12,67.96,105.11,,
SPX,2026-06-20,PWR,Quanta Services,Industrials,327,38.57,734.46,2026-06-22,0.00773357296517152
SPX,2026-06-22,PWR,Quanta Services,Industrials,13,67.67,740.14,,
SPX,2026-06-20,MRNA,Moderna,Health Care,176,52.71,59.99,2026-06-22,-0.010751791965327606
SPX,2026-06-22,MRNA,Moderna,Health Care,14,67.65,59.345,,
SPX,2026-06-20,RCL,Royal Caribbean Group,Consumer Discretionary,7,67.27,311.005,2026-06-22,-0.0052893040304817784
SPX,2026-06-22,RCL,Royal Caribbean Group,Consumer Discretionary,15,67.11,309.36,,
SPX,2026-06-20,CCL,Carnival Corporation,Consumer Discretionary,144,56.6,30.23,2026-06-22,-0.0013231888852133222
SPX,2026-06-22,CCL,Carnival Corporation,Consumer Discretionary,16,66.36,30.19,,
SPX,2026-06-20,PCAR,Paccar,Industrials,23,65.95,119.85,2026-06-22,0.002252816020025028
