early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,HOOD,Robinhood Markets,NASDAQ+NASDAQ500+SPX,Financials,69.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.94,50.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,DASH,DoorDash,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,68.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,80.72,50.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
3,ODFL,Old Dominion,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,68.67,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,47.23,43.7,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
4,ZBRA,Zebra Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,67.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.28,52.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
5,D,Dominion Energy,SPX,Utilities,67.29,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,55.17,46.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,ESS,Essex Property Trust,SPX,Real Estate,67.06,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,54.91,45.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,GPN,Global Payments,SPX,Financials,66.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,75.04,49.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,EXPE,Expedia Group,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,66.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,73.04,48.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,PYPL,PayPal,NASDAQ+NASDAQ200+NASDAQ500+SPX,Financials,66.24,82.0,early_transition,61.8,bullish_above_signal_proxy,63.79,47.01,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,GDDY,GoDaddy,SPX,Information Technology,65.25,82.0,early_transition,61.8,bullish_above_signal_proxy,60.78,46.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
