current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,1,11.62,,10,11.7,-0.00683761,,,,,,,,,
2,AVGO,Broadcom,Information Technology,2,393.484985,,,,,,,,,,,,,
3,JNJ,Johnson & Johnson,Health Care,3,257.48999,,,,,,,,,,,,,
4,BKV,BKV CORP,Energy,4,27.01,,,,,,,,,,,,,
5,DUK,Duke Energy,Utilities,5,128.904999,,30,127.919998,0.00770013,,,,,,,,,
6,HRI,HERC HOLDINGS INC,Industrials,6,159.842499,,,,,,,,,,,,,
7,NEE,NextEra Energy,Utilities,7,90.059998,,,,,,,,,,,,,
8,PCAR,Paccar,Industrials,8,132.660004,,11,131.110001,0.01182216,,,,,,,,,
9,XP,XP Inc. - Class A Common Stock,,9,17.225,,29,17.299999,-0.00433520,,,,,,,,,
10,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,10,16.309999,,49,16.290001,0.00122762,,,,,,,,,
11,WHD,CACTUS INC CLASS A,Energy,11,56.5,,37,56.0,0.00892857,,,,,,,,,
12,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,12,53.075001,,,,,,,,,,,,,
13,CBOE,Cboe Global Markets,Financials,13,286.850006,,9,282.024994,0.01710846,,,,,,,,,
14,EXE,Expand Energy,Energy,14,93.885002,,15,93.169998,0.00767419,,,,,,,,,
15,CDRE,CADRE HOLDINGS INC,Industrials,15,30.25,,21,29.93,0.01069161,15,29.17,0.02605417,,,,,,
16,CNX,CNX RESOURCES CORP,Energy,16,34.84,,,,,,,,,,,,,
17,NTGR,NETGEAR INC,Information Technology,17,24.969999,,24,24.620001,0.01421600,,,,,,,,,
18,OGS,ONE GAS INC,Utilities,18,80.239998,,,,,,,,,,,,,
19,SR,SPIRE INC,Utilities,19,83.065002,,,,,,,,,,,,,
20,A,Agilent Technologies,Health Care,20,139.080002,,,,,,,,,,,,,
21,NTAP,NetApp,Information Technology,21,167.800003,,,,,,,,,,,,,
22,GOGO,GOGO INC,Communication,22,3.72,,,,,,,,,,,,,
23,INVX,INNOVEX INTERNATIONAL INC,Energy,23,27.559999,,7,27.190001,0.01360787,,,,,,,,,
24,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,24,9.41,,,,,,,,,,,,,
25,RVTY,Revvity,Health Care,25,112.635002,,,,,,,,,,,,,
26,PCG,PG&E Corporation,Utilities,26,17.865,,,,,,,,,,,,,
27,PAMT,PAMT CORP,Industrials,27,15.2,,,,,,,,,,,,,
28,GD,General Dynamics,Industrials,28,382.774994,,,,,,,,,,,,,
29,BLFS,BIOLIFE SOLUTIONS INC,Health Care,29,30.84,,,,,,,,,,,,,
30,CME,CME Group,Financials,30,253.240005,,,,,,,,,,,,,
31,EPSN,EPSILON ENERGY LTD,Energy,31,5.86,,,,,,,,,,,,,
32,FIVE,"Five Below, Inc. - Common Stock",,32,204.720001,,,,,,,,3,204.139999,,,,
33,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,33,13.805,,48,13.615,0.01395520,,,,,,,,,
34,CMCO,COLUMBUS MCKINNON CORP,Industrials,34,15.28,,,,,,,,,,,,,
35,PNRG,PRIMEENERGY RESOURCES CORP,Energy,35,194.649994,,5,193.395004,0.00648926,4,189.860001,0.01861900,,,,,,
36,HUN,HUNTSMAN CORP,Materials,36,13.03,,,,,,,,,,,,,
37,GRNT,GRANITE RIDGE RESOURCES INC,Energy,37,4.93,,,,,,,,,,,,,
38,MNTK,MONTAUK RENEWABLES INC,Utilities,38,1.765,,,,,,,,,,,,,
39,ABT,Abbott Laboratories,Health Care,39,101.190002,,,,,,,,,,,23,100.68,
40,CSX,CSX Corporation,Industrials,40,52.595001,,,,,,,,,,,,,
41,ETN,Eaton Corporation,Industrials,41,413.63501,,,,,,,,,,,,,
42,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,42,9.46,,,,,1,9.575,,,,,,,
43,ACU,ACME UNITED CORP,Health Care,43,50.900002,,,,,,,,,,,,,
44,IP,International Paper,Materials,44,38.415001,,,,,,,,,,,,,
45,REPX,RILEY EXPLORATION PERMIAN INC,Energy,45,36.345001,,,,,6,35.27,,,,,18,35.0,
46,OIS,OIL STATES INTERNATIONAL INC,Energy,46,8.87,,20,8.72,0.01720183,20,8.58,0.01631702,,,,31,8.43,
47,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,47,15.965,,,,,,,,,,,,,
48,AMBP,ARDAGH METAL PACKAGING SA,Materials,48,4.885,,,,,,,,,,,,,
49,LGND,LIGAND PHARMACEUTICALS INC,Health Care,49,304.11499,,,,,,,,,,,,,
50,HWM,Howmet Aerospace,Industrials,50,285.839996,,,,,,,,,,,,,
