current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,JNJ,Johnson & Johnson,Health Care,1,257.48999,,,,,,,,,,,,,
2,ACU,ACME UNITED CORP,Health Care,2,50.900002,,,,,,,,,,,,,
3,AVGO,Broadcom,Information Technology,3,393.484985,,35,396.809998,-0.00837936,,,,,,,,,
4,ETN,Eaton Corporation,Industrials,4,413.63501,,,,,,,,,,,,,
5,DUK,Duke Energy,Utilities,5,128.904999,,7,127.919998,0.00770013,,,,,,,,,
6,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,6,11.62,,15,11.7,-0.00683761,,,,,,,,,
7,CBOE,Cboe Global Markets,Financials,7,286.850006,,3,282.024994,0.01710846,,,,,,,,,
8,DE,Deere & Company,Industrials,8,608.090027,,,,,,,,,,,,,
9,CME,CME Group,Financials,9,253.240005,,4,249.240005,0.01604879,,,,,,,,,
10,EVRG,Evergy,Utilities,10,86.565002,,,,,,,,,,,,,
11,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,11,70.699997,,,,,,,,,,,,,
12,BLFS,BIOLIFE SOLUTIONS INC,Health Care,12,30.84,,,,,,,,,,,,,
13,ED,Consolidated Edison,Utilities,13,112.245003,,,,,,,,,,,,,
14,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,14,13.65,,,,,,,,,,,,,
15,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,15,22.83,,9,23.08,-0.01083189,,,,,,,,,
16,IPI,INTREPID POTASH INC,Materials,16,34.98,,,,,,,,,,,,,
17,NTGR,NETGEAR INC,Information Technology,17,24.969999,,12,24.620001,0.01421600,37,24.235001,0.01588611,,,,,,
18,BKV,BKV CORP,Energy,18,27.01,,24,26.530001,0.01809269,,,,,,,,,
19,IP,International Paper,Materials,19,38.415001,,,,,,,,,,,,,
20,WHD,CACTUS INC CLASS A,Energy,20,56.5,,,,,,,,,,,,,
21,GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,21,22.709999,,22,22.844999,-0.00590939,,,,,,,,,
22,TEX,TEREX CORP,Industrials,22,68.555,,,,,,,,,,,,,
23,PCG,PG&E Corporation,Utilities,23,17.865,,,,,,,,,,,,,
24,JCI,Johnson Controls,Industrials,24,144.320007,,,,,,,,,,,,,
25,HRI,HERC HOLDINGS INC,Industrials,25,159.842499,,,,,,,,,,,,,
26,EMR,Emerson Electric,Industrials,26,144.675003,,,,,,,,,,,,,
27,KMI,Kinder Morgan,Energy,27,32.654999,,,,,,,,49,32.595001,,,,
28,CNX,CNX RESOURCES CORP,Energy,28,34.84,,42,34.639999,0.00577370,29,33.639999,0.02972652,,,,,,
29,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,29,15.965,,,,,44,15.46,,,,,,,
30,MRX,MAREX GROUP LTD,Financials,30,65.940002,,,,,,,,,,,,,
31,XP,XP Inc. - Class A Common Stock,,31,17.225,,,,,,,,,,,,,
32,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,32,16.309999,,50,16.290001,0.00122762,,,,,,,,,
33,GGAL,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",,33,51.68,,31,53.240002,-0.02930131,,,,,,,,,
34,ETR,Entergy,Utilities,34,115.400002,,,,,,,,,,,,,
35,FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",,35,2154.52002,,,,,,,,,,,,,
36,WMB,Williams Companies,Energy,36,75.370003,,,,,,,,,,,,,
37,SR,SPIRE INC,Utilities,37,83.065002,,,,,,,,,,,,,
38,SWK,Stanley Black & Decker,Industrials,38,88.019997,,11,89.269997,-0.01400246,,,,,,,,,
39,NTAP,NetApp,Information Technology,39,167.800003,,,,,,,,,,,,,
40,AURA,AURA BIOSCIENCES INC,Health Care,40,7.04,,,,,,,,,,,,,
41,GM,General Motors,Consumer Discretionary,41,79.540001,,10,82.129997,-0.03153532,8,79.510002,0.03295177,,,,,,
42,T,AT&T,Communication Services,42,22.7799,,,,,42,22.275,,,,,,,
43,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,43,53.075001,,,,,,,,,,,,,
44,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,44,9.41,,,,,,,,,,,,,
45,CDRE,CADRE HOLDINGS INC,Industrials,45,30.25,,33,29.93,0.01069161,33,29.17,0.02605417,,,,,,
46,LGND,LIGAND PHARMACEUTICALS INC,Health Care,46,304.11499,,,,,,,,,,,,,
47,DELL,Dell Technologies,Information Technology,47,447.704987,,,,,,,,,,,,,
48,NEE,NextEra Energy,Utilities,48,90.059998,,,,,,,,,,,,,
49,A,Agilent Technologies,Health Care,49,139.080002,,,,,,,,,,,,,
50,DOW,Dow Inc.,Materials,50,31.65,,,,,,,,,,,,,
