current_rank,ticker,name,sector,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,XMTR,XOMETRY CLASS A,Industrials,1,97.139999,,,,,,,,,,,,,,,,,,,,,,,,,
2,QCOM,Qualcomm,Information Technology,2,189.330002,,2,184.839996,0.02429131,3,187.800003,-0.01576149,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
3,TENB,TENABLE HOLDINGS,Information Technology,3,36.665001,,45,36.369999,0.00811114,,,,,,,,,,,,,,,,,,,,,
4,ICLR,ICON plc - Ordinary Shares,,4,171.240005,,5,173.940002,-0.01552258,,,,,,,,,,,,,,,,,,,,,
5,EWTX,EDGEWISE THERAPEUTICS,Health Care,5,45.650002,,6,45.439999,0.00462154,,,,,,,35,44.400002,,,,,,,,,,,,,
6,FFIV,"F5, Inc.",Information Technology,6,435.829987,,1,423.589996,0.02889585,1,430.880005,-0.01691888,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
7,GATX,GATX,Industrials,7,181.550003,,,,,,,,,,,,,,,,,,,,,,,,,
8,FTNT,Fortinet,Information Technology,8,172.770004,,9,171.770004,0.00582174,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
9,EBAY,eBay Inc.,Consumer Discretionary,9,111.839996,,20,109.169998,0.02445725,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
10,VRSN,Verisign,Information Technology,10,301.190002,,3,298.459991,0.00914699,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
11,PNTG,PENNANT GROUP,Health Care,11,41.419998,,,,,21,39.970001,,9,40.110001,-0.00349040,42,39.200001,0.02321429,5,39.299999,-0.00254448,,,,,,,,,
12,BMRC,BANK OF MARIN BANCORP,Financials,12,28.68,,28,27.77,0.03276918,,,,,,,,,,,,,,,,,,,,,
13,OPCH,OPTION CARE HEALTH INC,Health Care,13,24.295,,,,,,,,,,,,,,,,,,,,,,,,,
14,IBRX,IMMUNITYBIO,Health Care,14,8.69,,,,,,,,,,,,,,,,,,,,,,,,,
15,GIC,GLOBAL INDUSTRIAL,Industrials,15,40.415001,,,,,,,,,,,,,,,,,21,39.560001,,,,,,,
16,CNXN,PC CONNECTION INC,Information Technology,16,86.690002,,16,87.120003,-0.00493573,42,85.199997,0.02253528,19,85.75,-0.00641403,13,85.760002,-0.00011663,45,82.589996,0.03838245,48,82.730003,-0.00169234,17,83.639999,-0.01087991,,,
17,WAY,WAYSTAR HOLDING,Health Care,17,26.549999,,,,,,,,,,,,,,,,,,,,,,,,,
18,ISRG,Intuitive Surgical,Health Care,18,385.515015,,,,,,,,,,,,,,,,,,,,,,,,,
19,ZD,ZIFF DAVIS INC,Communication,19,59.499001,,34,58.75,0.01274895,,,,38,57.349998,,,,,,,,,,,,,,,,
20,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,20,16.049999,,,,,,,,,,,,,,,,,,,,,,,,,
21,LXP,LXP INDUSTRIAL TRUST,Real Estate,21,60.855,,,,,,,,,,,,,,,,,,,,,,,,,
22,WST,West Pharmaceutical Services,Health Care,22,366.660004,,18,362.024994,0.01280301,10,364.869995,-0.00779730,,,,,,,,,,,,,,,,,,
23,NWSA,News Corp (Class A),Communication Services,23,30.346001,,37,30.190001,0.00516727,,,,,,,,,,,,,,,,,,,,,
24,CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care,24,35.75,,,,,44,35.669998,,,,,,,,,,,,,,,,,,,
25,TECH,Bio-Techne,Health Care,25,72.425003,,42,72.330002,0.00131344,,,,,,,,,,,,,,,,,,,,,
26,RGR,STURM RUGER,Consumer Discretionary,26,39.98,,,,,,,,,,,,,,,,,,,,,,,,,
27,FMAO,FARMERS AND MERCHANTS BANCORP INC,Financials,27,35.915001,,21,35.779999,0.00377311,,,,,,,,,,,,,,,,,,,,,
28,FBLA,FB BANCORP,Financials,28,16.190001,,24,16.17,0.00123692,,,,,,,,,,38,15.99,,,,,,,,18,15.99,
29,NTAP,NetApp,Information Technology,29,197.785004,,,,,,,,,,,,,,,,,,,,,,,,,
30,VRNS,VARONIS SYSTEMS,Information Technology,30,47.630001,,8,46.759998,0.01860571,6,47.470001,-0.01495688,3,47.48,-0.00021059,9,45.119999,0.05230499,6,45.5,-0.00835167,17,46.09,-0.01280104,1,45.459999,0.01385836,1,46.09,-0.01366893
31,INCY,Incyte,Health Care,31,126.160004,,,,,,,,,,,,,,,,,,,,,,,,,
32,CDW,CDW Corporation,Information Technology,32,149.875,,,,,,,,32,151.699997,,2,153.789993,-0.01358993,,,,,,,,,,19,152.380005,
33,VSTS,VESTIS,Industrials,33,13.82,,,,,,,,,,,,,,,,,,,,,,,,,
34,FNLC,FIRST BANCORP INC,Financials,34,35.485001,,,,,8,35.68,,16,35.279999,0.01133790,,,,25,35.040001,,,,,,,,,,
35,DGX,Quest Diagnostics,Health Care,35,248.379898,,25,247.203995,0.00475681,9,247.289993,-0.00034776,,,,,,,,,,,,,,,,,,
36,PI,IMPINJ,Information Technology,36,181.190002,,10,177.589996,0.02027145,,,,,,,3,176.820007,,,,,,,,,,,,,
37,SYM,Symbotic Inc. - Class A Common Stock,,37,44.514999,,,,,,,,,,,43,42.130001,,,,,,,,,,,,,
