current_rank,ticker,name,sector,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,1,53.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,APOG,APOGEE ENTERPRISES INC,Industrials,2,41.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PRLB,PROTO LABS INC,Industrials,3,80.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,4,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DD,DuPont,Materials,5,141.309998,,,,,15,138.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NVRI,ENVIRI CORP,Industrials,6,23.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HRI,HERC HOLDINGS INC,Industrials,7,163.968994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PRG,PROG HOLDINGS INC,Financials,8,45.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,INVH,Invitation Homes,Real Estate,9,30.485001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TGLS,TECNOGLASS HOLDINGS INC,Industrials,10,46.740002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,11,19.469999,,,,,,,,,,,,,,,,,,,,,,,,,,38,19.219999,,,,,,,
12,HLMN,HILLMAN SOLUTIONS CORP,Industrials,12,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DRUG,BRIGHT MINDS BIOSCIENCES INC,Health Care,13,73.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,XPRO,EXPRO LTD,Energy,14,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PNC,PNC Financial Services,Financials,15,251.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DAKT,DAKTRONICS INC,Information Technology,16,20.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HAPN,HAPPEN INC,Financials,17,20.440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,EE,EXCELERATE ENERGY INC CLASS A,Energy,18,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ETN,Eaton Corporation,Industrials,19,438.279999,,,,,,,,,,,,,,,,,,,,47,415.100006,,,,,,,,,,,,,
20,JOE,ST JOE,Real Estate,20,64.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RELY,REMITLY GLOBAL INC,Financials,21,23.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NSSC,NAPCO SECURITY TECHNOLOGIES INC,Information Technology,22,38.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WLTH,WEALTHFRONT CORP,Financials,23,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BLX,BLADEX INC CLASS E,Financials,24,59.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CALY,CALLAWAY GOLF COMPANY,Consumer Discretionary,25,19.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NEWT,NEWTEKONE INC,Financials,26,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SNFCA,SECURITY NATIONAL FINANCIAL CORP C,Financials,27,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LECO,"Lincoln Electric Holdings, Inc. - Common Shares",,28,267.790009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,QDEL,QUIDELORTHO CORP,Health Care,29,17.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,WFC,Wells Fargo,Financials,30,87.885002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NREF,NEXPOINT REAL ESTATE FINANCE INC,Financials,31,17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,32,26.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,DAN,DANA INCORPORATED INC,Consumer Discretionary,33,27.620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NAVI,NAVIENT CORP,Financials,34,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GOLD,GOLD INC,Consumer Discretionary,35,42.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DGII,DIGI INTERNATIONAL INC,Information Technology,36,70.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,37,16.18,,,,,,,,,,,,,,,,,,,,,,,50,16.290001,,,,,,,,,,
38,CRWD,CrowdStrike,Information Technology,38,202.539993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LASR,NLIGHT INC,Information Technology,39,70.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,69.25,
40,PODD,Insulet Corporation,Health Care,40,169.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,167.369995,,,,
41,AVNT,AVIENT CORP,Materials,41,37.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,IRT,INDEPENDENCE REALTY INC,Real Estate,42,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,STEP,STEPSTONE GROUP INC CLASS A,Financials,43,46.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LQDT,LIQUIDITY SERVICES INC,Industrials,44,39.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CIFR,CIPHER DIGITAL INC,Information Technology,45,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,OVLY,OAK VALLEY BANCORP,Financials,46,33.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MUR,MURPHY OIL CORP,Energy,47,38.720001,,41,39.740002,-0.02566686,,,,,,,,,,,,,,,,,,,,,,,,,2,36.825001,,,,
48,BA,Boeing,Industrials,48,233.445007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PANW,Palo Alto Networks,Information Technology,49,347.130005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,APO,Apollo Global Management,Financials,50,129.520004,,9,125.699997,0.03038987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
