current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,LBRDK,Liberty Broadband Corporation - Class C Common Stock,,1,33.360001,,9,34.099998,-0.02170079,,,,,,,,,,,,,,,,,,,,,,,,
2,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,2,20.379999,,14,20.58,-0.00971822,,,,,,,,,,,,,,,,,,,10,19.629999,,32,19.745001,-0.00582436
3,EL,Estée Lauder Companies (The),Consumer Staples,3,84.879997,,22,84.146004,0.00872285,8,84.730003,-0.00689247,,,,,,,,,,,,,,,,2,83.639999,,,,
4,ARVN,ARVINAS INC,Health Care,4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,YOU,CLEAR SECURE INC CLASS A,Information Technology,5,56.099998,,1,58.404999,-0.03946582,,,,,,,,,,,,,,,,,,,,,,14,56.029999,
6,DRI,Darden Restaurants,Consumer Discretionary,6,206.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RGR,STURM RUGER INC,Consumer Discretionary,7,39.060001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MH,MCGRAW HILL INC,Consumer Discretionary,8,10.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TTGT,TECHTARGET INC,Communication,9,4.49,,,,,,,,,,,,,,,,,,,,,,,17,3.91,,,,
10,CAL,CALERES INC,Consumer Discretionary,10,13.02,,47,12.86,0.01244168,,,,,,,,,,,,,,,,,,,,,,,,
11,IRTC,IRHYTHM HOLDINGS INC,Health Care,11,119.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,12,17.879999,,,,,21,17.625,,,,,,,,,,,,,,,,,,,,,,
13,OSIS,OSI SYSTEMS INC,Information Technology,13,219.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HSY,Hershey Company (The),Consumer Staples,14,177.229996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,KDP,Keurig Dr Pepper,Consumer Staples,15,31.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CWCO,CONSOLIDATED WATER LTD,Utilities,16,29.610001,,,,,,,,20,29.52,,,,,,,,,,,,,,,,,,,
17,HCA,HCA Healthcare,Health Care,17,395.790009,,5,408.359985,-0.03078161,,,,,,,,,,,,,,,,,,,,,,,,
18,WYNN,Wynn Resorts,Consumer Discretionary,18,100.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CHTR,Charter Communications,Communication Services,19,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AMT,American Tower,Real Estate,20,174.460007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,III,INFORMATION SERVICES GROUP INC,Information Technology,21,4.12,,11,4.26,-0.03286385,,,,,,,,,,,,,,,,,,,,,,,,
22,MC,MOELIS CLASS A,Financials,22,68.349998,,,,,14,68.550003,,1,67.790001,0.01121112,,,,,,,,,,,,,,,,,,
23,CNXC,CONCENTRIX CORP,Industrials,23,24.9,,4,26.559999,-0.06249996,,,,,,,,,,,,,,,,,,,,,,,,
24,STRA,STRATEGIC EDUCATION INC,Consumer Discretionary,24,85.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PEP,PepsiCo,Consumer Staples,25,140.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SYF,Synchrony Financial,Financials,26,77.169998,,7,74.974998,0.02927643,1,77.120003,-0.02781386,,,,,,,,,,,,,,,,,,,,,
27,EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,27,36.400002,,13,36.326,0.00203716,,,,,,,,,,,,,,,,,,,,,,,,
28,SFIX,STITCH FIX INC CLASS A,Consumer Discretionary,28,4.1,,,,,46,4.22,,,,,,,,,,,,,,,,,18,3.91,,,,
29,JOE,ST JOE,Real Estate,29,63.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,30,50.119999,,,,,18,49.259998,,,,,,,,,,,,,,,,,,,,,,
31,CCL,Carnival Corporation,Consumer Discretionary,31,27.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CSV,CARRIAGE SERVICES INC,Consumer Discretionary,32,40.119999,,10,40.759998,-0.01570164,,,,,,,,,,,,,,,,,,,,,,,,
33,CTS,CTS CORP,Information Technology,33,62.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RENT,RENT THE RUNWAY INC CLASS A,Consumer Discretionary,34,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,35,56.189999,,30,58.4025,-0.03788367,,,,,,,,,,,,,,,,,,,,,,,,
36,TSN,Tyson Foods,Consumer Staples,36,60.650002,,18,61.049999,-0.00655196,,,,,,,,,,,,,,,,,,,,,,,,
37,ROK,Rockwell Automation,Industrials,37,471.01001,,,,,41,471.320007,,,,,,,,,,,,,,,,,,,,,,
38,MFIN,MEDALLION FINANCIAL CORP,Financials,38,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SAM,BOSTON BEER INC CLASS A,Consumer Staples,39,185.309998,,15,187.070007,-0.00940829,22,185.600006,0.00792026,7,183.520004,0.01133393,,,,,,,,,,,,,11,180.669998,,,,
40,CVSA,COVISTA INC,Consumer Discretionary,40,126.440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ADV,ADVANTAGE SOLUTIONS INC CLASS A,Communication,41,40.59,,42,43.220001,-0.06085148,,,,,,,,,,,,,,,,,,,,,,,,
42,ALH,ALLIANCE LAUNDRY HOLDINGS INC,Industrials,42,26.219999,,26,26.040001,0.00691237,,,,,,,,,,,,,,,,,,,,,,,,
43,GLOB,GLOBANT SA,Information Technology,43,36.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CPRT,Copart,Industrials,44,29.565001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,WEST,WESTROCK COFFEE,Consumer Staples,45,8.17,,39,8.18,-0.00122249,,,,,,,,,,,,,,,,,,,,,,,,
46,CMCSA,Comcast,Communication Services,46,23.67,,33,24.610001,-0.03819589,,,,,,,,,,,,,,,,,,,40,23.780001,,,,
47,IPI,INTREPID POTASH INC,Materials,47,35.32,,43,35.470001,-0.00422895,,,,,,,,,,,,,,,,,,,,,,,,
48,UAL,United Airlines Holdings,Industrials,48,123.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,EXE,Expand Energy,Energy,49,92.419998,,,,,,,,43,90.510002,,41,91.519997,-0.01103578,17,91.730003,-0.00228939,,,,,,,,,,,,
50,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,50,11.76,,20,11.79,-0.00254453,3,12.04,-0.02076412,,,,,,,,,,,,,,,,,,,,,
