rank,ticker,name,sector,aster_call_score,call_bias,source_strategy,source_universe,confirmation_layer,confirmation_hit,confirmation_score,call_note,latest_price,return_1m,return_1w,return_3_blocks,rsi14,volume_ratio,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state
1,COP,ConocoPhillips,Energy,81.27,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,115.665001,0.04005937,0.02489919,0.01683517,66.11,1.13,87.7,74.0,100.0,81.36,100.0,100.0,early_transition,bullish_above_signal
2,MUR,MURPHY OIL CORP,Energy,81.11,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,36.825001,0.04379257,0.05515756,0.01001103,66.77,1.06,87.7,72.77,100.0,81.74,100.0,100.0,early_transition,bullish_above_signal
3,FIVE,"Five Below, Inc. - Common Stock",,81.05,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,204.139999,0.06751034,0.06578264,0.00329286,67.64,1.24,87.7,72.62,100.0,81.36,100.0,100.0,early_transition,bullish_above_signal
4,CLW,CLEARWATER PAPER CORP,Materials,79.3,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,16.424999,-0.01881726,0.08059204,0.01765799,58.76,1.2,87.7,78.72,81.1,81.74,100.0,100.0,early_transition,bullish_above_signal
5,AIR,AAR CORP,Industrials,79.06,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,135.850006,0.02706586,0.03860858,-0.00897283,50.93,1.73,92.8,55.13,83.8,68.54,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross
6,GCO,GENESCO INC,Consumer Discretionary,78.98,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,37.150002,0.07494216,0.07900093,-0.00174655,62.63,1.15,87.7,59.78,100.0,81.74,100.0,100.0,early_transition,bullish_above_signal
7,ULTA,Ulta Beauty,Consumer Discretionary,78.82,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,488.079987,0.08288957,0.03109684,0.01221507,66.76,1.19,87.7,73.05,100.0,81.36,100.0,72.0,early_transition,bullish_above_signal
8,FOXA,Fox Corporation (Class A),Communication Services,78.66,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,57.48,0.12046786,0.02826472,0.00665503,60.89,1.05,87.7,58.86,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal
9,FOX,Fox Corporation (Class B),Communication Services,78.62,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,51.549999,0.10314571,0.02648343,0.00477534,60.1,1.16,87.7,58.66,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal
10,NOG,NORTHERN OIL AND GAS INC,Energy,78.62,Deep v4 Shape Embedding 未确认,Aster,Deep v4 Shape Embedding Watch,Deep v4 Shape Embedding,no,35.0,旧 Aster 主线入围；Deep v4 Shape Embedding 未入围 Top50，静态因子较好但走势确认不足，降权观察,21.200001,0.09645731,0.04176909,0.01120921,67.56,0.91,87.7,73.55,100.0,81.74,68.0,100.0,early_transition,bullish_above_signal
