rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
45,TSM,2026-07-02,2026-07-02,2026-07-06,451.79,0.04060714943799515,24.0,HOLD,False,0,派发聚集: 最近5日出现 2 个放量下跌日; 动能转弱: MACD 低于 signal,-0.05398161526058998,0.044963571180756334,0.015440978153375973,54.57631978471541,exit-risk-trends.html#ticker-tsm
46,J,2026-06-26,2026-06-30,2026-08-31,151.440002,0.20190477777777782,22.0,HOLD,False,0,新鲜破位: MACD 新转空; 动能转弱: MACD 低于 signal,-0.003553059706620898,-0.0011212914641430816,0.0916955082778581,67.45373339567351,exit-risk-trends.html#ticker-j
47,SMTC,2026-07-02,2026-07-02,2026-08-31,130.929993,-0.03208406055787505,19.0,WATCH,True,2,动能转弱: RSI 49.2 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -25.1%,-0.25067248899839734,0.08287146363836029,0.09951285523156117,49.22387203401776,exit-risk-trends.html#ticker-smtc
48,ERIE,2026-07-02,2026-07-02,2026-08-31,257.769989,-0.005708817743490857,18.0,HOLD,False,0,动能转弱: 5日跌幅 -4.0%; 动能转弱: MACD 低于 signal,-0.04046316778235737,-0.04046316778235737,0.0882799455869292,54.1459341233999,exit-risk-trends.html#ticker-erie
49,WFC,2026-07-02,2026-07-02,2026-08-31,86.595001,0.012688562444425955,12.0,HOLD,False,0,动能转弱: MACD 低于 signal; 结构弱势: EMA9 低于 EMA26,-0.028877392147076297,0.022131727784092003,-0.014734304411586185,52.00705966563632,exit-risk-trends.html#ticker-wfc
50,BAX,2026-07-06,2026-07-06,2026-08-31,26.235001,0.16186895482728092,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.074603139329806,-0.009626236315590675,-0.06637007117437721,54.41283800414942,exit-risk-trends.html#ticker-bax
51,BRO,2026-06-26,2026-06-30,2026-08-31,72.07,0.12346060410099424,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.037398195376057375,-0.0341731827590519,0.004040136584565701,53.534042162033764,exit-risk-trends.html#ticker-bro
52,COR,2026-07-06,2026-07-06,2026-08-31,326.049988,0.09211187776031671,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.023422311429932563,0.007042033163858097,0.05733370070586785,58.66908441352823,exit-risk-trends.html#ticker-cor
53,ESP,2026-07-06,2026-07-06,2026-08-31,62.549999,-0.039318107213667464,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.07126947501913805,-0.008402076461570207,0.03542458202284404,50.80303649199445,exit-risk-trends.html#ticker-esp
54,GPC,2026-06-26,2026-06-30,2026-08-31,136.279999,0.1551109979205545,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.023012444511705255,0.00434812433711973,0.06037966665485017,58.62681426699219,exit-risk-trends.html#ticker-gpc
55,MKC,2026-06-26,2026-06-30,2026-08-31,54.165001,0.07427614336676491,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.04098794263456096,-0.03620996376850605,0.05133930512422347,51.97045679773942,exit-risk-trends.html#ticker-mkc
56,MSFT,2026-07-02,2026-07-02,2026-08-31,509.434998,0.3046044995929347,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.007974277586014322,0.04540231083048707,0.04467344256749861,69.84891488561954,exit-risk-trends.html#ticker-msft
57,PANW,2026-07-02,2026-07-02,2026-08-31,374.660004,0.07642362280310078,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.053888878787878736,0.06771162840202272,0.07930746003935907,56.80076109412998,exit-risk-trends.html#ticker-panw
58,VLO,2026-07-02,2026-07-02,2026-08-31,354.680115,0.3246194418651238,8.0,HOLD,False,0,动能转弱: MACD 低于 signal; Gap Fade 观察: 高开 +2.2% 后收阴回落，但暂未获得 Meta Exit 确认,0.0,0.025087037572254278,0.15328121421756213,68.92706832284088,exit-risk-trends.html#ticker-vlo
59,ZS,2026-07-02,2026-07-02,2026-08-31,187.970001,0.2758433343400075,8.0,HOLD,False,0,动能转弱: MACD 低于 signal,-0.001115910340160342,0.06764741074233105,0.2169493233287243,62.463033505673195,exit-risk-trends.html#ticker-zs
60,QCOM,2026-07-02,2026-07-02,2026-08-31,169.679993,-0.03727663546099291,1.0,HOLD,False,0,结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -32.1%; 陈旧弱势过滤: 弱势已持续但缺少新的破位触发，降低立即卖出权重,-0.3213071621396577,0.07033365338001407,0.11948264936083297,54.97007693877876,exit-risk-trends.html#ticker-qcom
61,CMG,2026-07-02,2026-07-02,2026-08-31,38.125,0.07728174843972146,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.01025441329179655,0.0027617043661229967,0.017752296256067668,64.63543304058898,exit-risk-trends.html#ticker-cmg
62,DASH,2026-07-06,2026-07-06,2026-08-31,234.369995,0.24360599753134893,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.010804870956122481,0.02318168622353678,0.16892765586034897,69.238323808155,exit-risk-trends.html#ticker-dash
63,EQR,2026-06-26,2026-06-30,,,,0.0,ERROR,False,0,数据读取失败: HTTP Error 429: Too Many Requests,,,,,exit-risk-trends.html#ticker-eqr
64,HONA,2026-07-06,2026-07-06,2026-08-31,157.029999,,0.0,UNKNOWN,False,0,数据不足，至少需要约60个交易日。,,,,,exit-risk-trends.html#ticker-hona
65,NOW,2026-07-02,2026-07-02,2026-08-31,145.365005,0.3672404533483824,0.0,HOLD,False,0,暂无明确卖出风险信号。,0.0,0.1352206293974081,0.2730099172780467,73.08562025610628,exit-risk-trends.html#ticker-now
66,RMD,2026-07-02,2026-07-02,2026-08-31,240.100006,0.14535133460498662,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.0009570007826155136,0.03291034243377511,0.11575818471343302,68.60689329088649,exit-risk-trends.html#ticker-rmd
67,ROP,2026-07-02,2026-07-02,2026-08-31,424.690002,0.16609002747644053,0.0,HOLD,False,0,暂无明确卖出风险信号。,-0.0035429609513948357,0.022093311301934593,0.08181978864218231,69.8467160478298,exit-risk-trends.html#ticker-rop
