current_rank,ticker,name,sector,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,MSFT,Microsoft,Information Technology,1,394.859985,,,,,,,,,,,,,,,,,,,,,,,,,
2,COST,Costco,Consumer Staples,2,976.200012,,,,,,,,,,,,,,,,,,,,,,,,,
3,BKR,Baker Hughes,Energy,3,60.195,,13,58.459999,0.02967843,6,60.59,-0.03515433,,,,,,,,,,,,,,,,,,
4,PTC,PTC Inc.,Information Technology,4,130.580002,,15,127.510002,0.02407654,,,,,,,,,,,,,,,,,,,,,
5,REGN,Regeneron Pharmaceuticals,Health Care,5,695.025085,,19,695.179993,-0.00022283,,,,,,,,,,,,,,,,,,,3,676.690002,
6,GILD,Gilead Sciences,Health Care,6,134.050003,,2,134.320007,-0.00201015,,,,,,,,,,,,,,,,,,,,,
7,KMB,Kimberly-Clark,Consumer Staples,7,112.82,,20,113.089996,-0.00238744,,,,,,,,,,,,,,,,,,,,,
8,AAPL,Apple Inc.,Information Technology,8,341.040009,,,,,,,,,,,,,,,,,,,,,,,,,
9,DXCM,Dexcom,Health Care,9,75.764999,,11,74.849998,0.01222446,,,,,,,,,,,,,,,,,,,,,
10,AXON,Axon Enterprise,Industrials,10,547.659973,,,,,,,,,,,,,,,,,,,,,,,,,
11,PEP,PepsiCo,Consumer Staples,11,145.035004,,,,,,,,,,,,,,,,,,,,,,,,,
12,GEN,Gen Digital,Information Technology,12,27.895,,21,27.58,0.01142132,,,,,,,,,,,,,,,,,,,13,26.74,
13,NTAP,NetApp,Information Technology,13,172.25,,23,174.529999,-0.01306365,9,169.800003,0.02785628,,,,,,,,,,,,,,,,,,
14,PCAR,Paccar,Industrials,14,134.690002,,,,,10,133.440002,,3,132.240005,0.00907439,5,130.75,0.01139583,3,131.110001,-0.00274579,,,,,,,12,126.199997,
15,ABNB,Airbnb,Consumer Discretionary,15,153.845001,,17,153.110001,0.00480047,,,,,,,,,,,,,,,,,,,,,
16,TROW,T. Rowe Price,Financials,16,119.980003,,48,121.68,-0.01397105,,,,,,,,,,,,,,,,,,,,,
17,ACGL,Arch Capital Group,Financials,17,105.389999,,,,,13,103.879997,,14,103.360001,0.00503092,,,,,,,,,,,,,,,
18,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,18,139.199997,,31,137.639999,0.01133390,,,,,,,,,,,,,,,,,,,,,
19,TCOM,Trip.com Group Limited - American Depositary Shares,,19,46.384998,,32,45.310001,0.02372538,16,44.77,0.01206167,,,,,,,,,,,,,,,,,,
20,PDD,PDD Holdings Inc. - American Depositary Shares,,20,87.970001,,,,,,,,,,,,,,,,,,,,,,,,,
21,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",,21,181.669998,,43,182.830002,-0.00634471,21,176.410004,0.03639248,,,,,,,,,,8,179.050003,,,,,,,
22,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,22,101.474998,,35,101.199997,0.00271740,,,,,,,,,,,,,,,,,,,24,102.199997,
23,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,23,60.240002,,40,59.970001,0.00450227,,,,,,,11,59.02,,9,58.720001,0.00510897,,,,,,,,,
24,CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,,24,111.160004,,,,,,,,,,,,,,,,,,,,,,,,,
25,UMBF,UMB FINANCIAL CORP,Financials,25,147.294998,,,,,,,,,,,,,,,,,,,,,,,,,
26,TMDX,TRANSMEDICS GROUP INC,Health Care,26,76.599998,,,,,,,,,,,,,,,,,,,,,,,,,
27,EBC,EASTERN BANKSHARES INC,Financials,27,23.25,,,,,,,,,,,,,,,,,,,,,,,,,
28,AMT,American Tower,Real Estate,28,173.070007,,,,,,,,,,,,,,,,,,,,,,,,,
29,EL,Estée Lauder Companies (The),Consumer Staples,29,84.75,,,,,,,,,,,,,,,,,,,,,,,,,
30,RMD,ResMed,Health Care,30,213.854996,,,,,,,,,,,,,,,,,,,,,,,,,
31,CLX,Clorox,Consumer Staples,31,99.934998,,,,,,,,,,,,,,,,,,,,,,,,,
32,HII,Huntington Ingalls Industries,Industrials,32,288.649994,,,,,35,288.255005,,20,287.670013,0.00203355,,,,,,,,,,,,,,,
33,RSG,Republic Services,Industrials,33,222.380005,,,,,,,,,,,,,,,,,,,,,,,,,
34,AVY,Avery Dennison,Materials,34,167.169998,,,,,,,,,,,,,,,,,,,,,,,,,
35,IEX,IDEX Corporation,Industrials,35,230.380005,,,,,,,,,,,,,,,,,,,,,,,,,
36,XYZ,"Block, Inc.",Financials,36,82.230003,,,,,,,,,,,,,,,,,,,,,,,,,
37,TAP,Molson Coors Beverage Company,Consumer Staples,37,43.299999,,,,,,,,,,,,,,,,,,,,,,,,,
