current_rank,ticker,name,sector,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,MSFT,Microsoft,Information Technology,1,394.859985,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOLE,DOLE PLC,Consumer Staples,2,14.43,,,,,,,,,,,,,,,,,,,,,,,,,
3,DXCM,Dexcom,Health Care,3,75.764999,,,,,,,,,,,,,,,,,,,,,,,,,
4,PTC,PTC Inc.,Information Technology,4,130.580002,,12,127.510002,0.02407654,,,,,,,,,,,,,,,,,,,,,
5,EL,Estée Lauder Companies (The),Consumer Staples,5,84.75,,,,,,,,,,,,,,,,,,,,,,,,,
6,PDD,PDD Holdings Inc. - American Depositary Shares,,6,87.970001,,,,,,,,,,,,,,,,,,,,,,,,,
7,CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,7,29.92,,,,,,,,,,,,,,,,,,,,,,,,,
8,IEX,IDEX Corporation,Industrials,8,230.380005,,45,224.800003,0.02482207,,,,,,,,,,,,,,,,,,,,,
9,UMBF,UMB FINANCIAL CORP,Financials,9,147.294998,,,,,,,,,,,,,,,,,,,,,,,,,
10,CNXC,CONCENTRIX CORP,Industrials,10,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
11,UPWK,UPWORK INC,Industrials,11,9.54,,,,,,,,,,,,,,,,,,,,,,,,,
12,BKR,Baker Hughes,Energy,12,60.195,,,,,,,,34,57.25,,,,,,,,,,,,,,,,
13,REGN,Regeneron Pharmaceuticals,Health Care,13,695.025085,,,,,,,,,,,,,,,,,,,,,,,,,
14,CPK,CHESAPEAKE UTILITIES CORP,Utilities,14,137.610001,,,,,,,,,,,,,,,,,,,,,,,,,
15,FOX,Fox Corporation (Class B),Communication Services,15,52.299999,,,,,,,,,,,,,,,,,,,,11,51.549999,,,,
16,RSG,Republic Services,Industrials,16,222.380005,,,,,,,,,,,,,,,,,,,,,,,,,
17,TMDX,TRANSMEDICS GROUP INC,Health Care,17,76.599998,,1,76.290001,0.00406340,,,,,,,,,,,,,,,,,,,,,
18,IFF,International Flavors & Fragrances,Materials,18,78.415001,,,,,,,,,,,,,,,,,,,,,,,,,
19,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,19,44.285198,,,,,,,,,,,,,,,,,,,,,,,,,
20,CHDN,"Churchill Downs, Incorporated - Common Stock",,20,88.75,,,,,,,,,,,,,,,,,,,,,,,,,
21,NP,NEPTUNE INSURANCE HOLDINGS INC CLA,Financials,21,32.959999,,,,,,,,,,,,,,,,,,,,,,,,,
22,ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology,22,22.139999,,,,,,,,,,,,,,,,,,,,,,,,,
23,CL,Colgate-Palmolive,Consumer Staples,23,93.059998,,48,92.709999,0.00377520,,,,,,,,,,,,,,,,,,,,,
24,ZG,"Zillow Group, Inc. - Class A Common Stock",,24,34.189999,,,,,,,,,,,,,,,,,,,,,,,,,
25,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,25,139.199997,,7,137.639999,0.01133390,,,,,,,,,,,,,,,,,,,,,
26,BIIB,Biogen,Health Care,26,213.345001,,,,,,,,,,,,,,,,,,,,,,,,,
27,SMC,SUMMIT MIDSTREAM CORP,Energy,27,31.629999,,,,,,,,19,30.59,,,,,,,,,,,,,,,,
28,RDVT,RED VIOLET INC,Information Technology,28,68.080002,,,,,,,,,,,,,,,,,,,,,,,,,
29,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,29,101.474998,,,,,,,,,,,,,,,,,,,,,,,36,102.199997,
30,XYL,Xylem Inc.,Industrials,30,123.459999,,25,125.010002,-0.01239903,,,,,,,,,,,,,,,,,,,,,
31,AVBH,AVIDBANK HOLDINGS INC,Financials,31,32.799999,,,,,,,,,,,,,,,,,,,,,,,,,
32,HCI,HCI GROUP INC,Financials,32,181.660004,,,,,,,,,,,,,,,,,,,,,,,,,
33,OOMA,OOMA INC,Information Technology,33,21.5977,,,,,,,,,,,,,,,,,,,,,,,,,
34,GILD,Gilead Sciences,Health Care,34,134.050003,,10,134.320007,-0.00201015,,,,,,,,,,,,,,,,,,,,,
35,TNDM,TANDEM DIABETES CARE INC,Health Care,35,18.07,,,,,,,,,,,,,,,,,,,,,,,,,
36,LAMR,Lamar Advertising Company - Class A Common Stock,,36,163.854996,,,,,,,,,,,,,,,,,,,,,,,,,
37,XYZ,"Block, Inc.",Financials,37,82.230003,,,,,,,,,,,,,,,,,,,,,,,,,
38,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,38,32.630001,,,,,,,,,,,,,,,,,,,,,,,,,
39,KVUE,Kenvue,Consumer Staples,39,19.725,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRMK,TRUSTMARK CORP,Financials,40,47.290001,,,,,,,,,,,,,,,,,,,,,,,,,
41,SBCF,SEACOAST BANKING OF FLORIDA,Financials,41,34.255001,,,,,,,,,,,,,,,,,,,,,,,,,
42,BKE,BUCKLE INC,Consumer Discretionary,42,45.25,,,,,,,,,,,,,,,,,,,,,,,,,
43,IDXX,Idexx Laboratories,Health Care,43,571.140015,,30,569.539978,0.00280935,,,,,,,,,,,,,,,,,,,,,
44,TCOM,Trip.com Group Limited - American Depositary Shares,,44,46.384998,,,,,,,,,,,,,,,,,,,,,,,,,
45,ACR,ACRES COMMERCIAL REALTY CORP,Financials,45,18.52,,,,,,,,,,,,,,,,,,,,,,,,,
46,RUSHB,RUSH ENTERPRISES INC CLASS B,Industrials,46,78.699997,,,,,,,,,,,,,,,,,,,,,,,,,
47,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,47,17.700001,,,,,,,,,,,,,,,,,,,,,,,,,
48,TDAY,USA TODAY INC,Communication,48,8.96,,,,,,,,,,,,,,,,,,,,,,,,,
49,TIPT,TIPTREE INC,Financials,49,18.4,,,,,,,,,,,,,,,,,,,,,,,,,
50,CAH,Cardinal Health,Health Care,50,233.240005,,,,,,,,,,,,,,,,,,,,,,,,,
