current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,BNTX,BioNTech SE - American Depositary Shares,,1,93.285004,,1,93.669998,-0.00411011,,,,,,,,,,,,,,,,,,,3,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
2,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,2,42.310001,,8,43.52,-0.02780329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,3,42.509998,,35,41.720001,0.01893569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PCYO,PURE CYCLE CORP,Utilities,4,11.13,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.76,,,,,,,,,,,,,,,,,,,,,,
5,IPI,INTREPID POTASH INC,Materials,5,36.52,,,,,,,,,,,,,,,,,,,,47,35.32,,43,35.470001,-0.00422895,,,,,,,,,,,,,,,,,,,,,,,,
6,RL,Ralph Lauren Corporation,Consumer Discretionary,6,403.200012,,2,395.73999,0.01885082,9,395.700012,0.00010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LYEL,LYELL IMMUNOPHARMA,Health Care,7,14.92,,46,14.71,0.01427600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ASPN,ASPEN AEROGELS,Materials,8,6.385,,3,6.25,0.02160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WBD,Warner Bros. Discovery,Communication Services,9,27.045,,4,26.780001,0.00989541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GNL,GLOBAL NET LEASE INC,Real Estate,10,9.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,9.26,
