current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,TEL,TE Connectivity,Information Technology,1,209.910004,,35,207.559998,0.01132206,,,,,,,,,
2,CLX,Clorox,Consumer Staples,2,99.495003,,,,,,,,,,,,,
3,GRMN,Garmin,Consumer Discretionary,3,252.255005,,,,,,,,,,,,,
4,ZBRA,Zebra Technologies,Information Technology,4,272.910004,,,,,,,,,,,,,
5,LKFN,LAKELAND FINANCIAL CORP,Financials,5,63.715,,18,63.349998,0.00576167,,,,,,,,,
6,ORLY,O’Reilly Automotive,Consumer Discretionary,6,92.1399,,,,,,,,,,,,,
7,FISV,Fiserv,Financials,7,54.240002,,46,52.310001,0.03689545,,,,,,,,,
8,CI,Cigna,Health Care,8,298.01001,,40,291.089996,0.02377276,,,,,,,,,
9,UHS,Universal Health Services,Health Care,9,160.690002,,31,159.25,0.00904240,2,155.839996,0.02188144,,,,,,
10,GEN,Gen Digital,Information Technology,10,27.575001,,,,,,,,,,,,,
11,CPB,The Campbell's Company - Common Stock,,11,22.985001,,,,,,,,,,,,,
12,TCOM,Trip.com Group Limited - American Depositary Shares,,12,45.650002,,,,,,,,,,,,,
13,PFG,Principal Financial Group,Financials,13,114.459999,,,,,,,,,,,,,
14,OPCH,OPTION CARE HEALTH INC,Health Care,14,22.4,,,,,,,,,,,,,
15,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,15,12.01,,,,,,,,,,,,,
16,HVT,HAVERTY FURNITURE COMPANIES INC,Consumer Discretionary,16,26.025,,,,,,,,,,,,,
17,MC,MOELIS CLASS A,Financials,17,68.720001,,10,67.790001,0.01371884,,,,,,,,,
18,TGLS,TECNOGLASS INC,Industrials,18,47.715,,,,,,,,,,,,,
19,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,19,127.349998,,,,,,,,,,,,,
20,ALKT,ALKAMI TECHNOLOGY INC,Information Technology,20,18.07,,,,,,,,,,,,,
21,ZS,"Zscaler, Inc. - Common Stock",,21,151.848206,,,,,,,,,,,,,
22,PG,Procter & Gamble,Consumer Staples,22,151.309998,,,,,,,,,,,,,
23,TAP,Molson Coors Beverage Company,Consumer Staples,23,42.435001,,,,,,,,,,,,,
24,VEEV,Veeva Systems,Health Care,24,201.070007,,,,,,,,,,,,,
25,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,25,2.7901,,,,,,,,,,,,,
26,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,26,21.014999,,,,,,,,,,,,,
27,ECL,Ecolab,Materials,27,280.609985,,,,,,,,,,,,,
28,BKR,Baker Hughes,Energy,28,58.459999,,,,,,,,,,,,,
29,CALM,CAL MAINE FOODS INC,Consumer Staples,29,92.084999,,,,,47,90.32,,,,,,,
30,SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,30,62.235001,,,,,,,,,,,,,
31,ABNB,Airbnb,Consumer Discretionary,31,151.220001,,,,,,,,,,,,,
32,ZBH,Zimmer Biomet,Health Care,32,95.830002,,,,,,,,,,,,,
33,DHR,Danaher Corporation,Health Care,33,200.050003,,,,,,,,,,,,,
34,TW,Tradeweb Markets Inc. - Class A Common Stock,,34,104.385002,,8,102.014999,0.02323191,,,,,,,,,
35,RMD,ResMed,Health Care,35,207.800003,,,,,,,,,,,,,
36,PIPR,PIPER SANDLER COMPANIES,Financials,36,77.059998,,,,,,,,,,,,,
37,SIBN,SI BONE INC,Health Care,37,17.799999,,,,,,,,,,,,,
38,XYL,Xylem Inc.,Industrials,38,125.480003,,,,,,,,,,,,,
39,GRDN,GUARDIAN PHARMACY SERVICES INC CLA,Health Care,39,41.66,,27,41.490002,0.00409732,,,,,,,,,
40,PPG,PPG Industries,Materials,40,122.230003,,,,,,,,,,,,,
41,TJX,TJX Companies,Consumer Discretionary,41,159.699997,,,,,,,,,,,,,
42,SNY,Sanofi - American Depositary Shares,,42,45.189999,,,,,,,,,,,,,
43,WY,Weyerhaeuser,Real Estate,43,24.469999,,,,,,,,,,,,,
44,SLB,Schlumberger,Energy,44,50.68,,,,,,,,,,,,,
45,ZM,"Zoom Communications, Inc. - Class A Common Stock",,45,91.089996,,,,,,,,,,,,,
46,FOX,Fox Corporation (Class B),Communication Services,46,51.945,,,,,,,,,,,,,
47,ECPG,ENCORE CAPITAL GROUP INC,Financials,47,96.07,,43,94.449997,0.01715196,,,,,,,,,
48,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,48,64.339996,,,,,,,,,,,,,
49,BOBS,BOBS DISCOUNT FURNITURE INC,Consumer Discretionary,49,16.42,,,,,,,,,,,,,
50,WOR,WORTHINGTON ENTERPRISES INC,Industrials,50,58.099998,,,,,,,,,,,,,
