current_rank,ticker,name,sector,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AVGO,Broadcom,Information Technology,1,388.475006,,15,389.279999,-0.00206790,,,,,,,,,,,,,,,,,,,35,396.809998,,,,,,,,,,
2,BNTX,BioNTech SE - American Depositary Shares,,2,93.870003,,,,,,,,5,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
3,ANET,Arista Networks,Information Technology,3,181.710007,,10,180.315002,0.00773649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,APO,Apollo Global Management,Financials,4,128.039993,,9,125.699997,0.01861572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ETN,Eaton Corporation,Industrials,5,433.160004,,,,,,,,,,,,,,,,,,,,47,415.100006,,,,,,,,,,,,,
6,INVH,Invitation Homes,Real Estate,6,30.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FTNT,Fortinet,Information Technology,7,163.589996,,18,161.949997,0.01012658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CV,CAPSOVISION INC,Health Care,8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LYB,LyondellBasell,Materials,9,61.735001,,29,62.110001,-0.00603767,,,,,,,,,,,,,25,60.334999,,19,61.709999,-0.02228164,,,,,,,,,,,,
10,AVT,"Avnet, Inc. - Common Stock",,10,88.889999,,8,88.839996,0.00056284,,,,,,,,,,,,,,,,,,,,,,45,89.849998,,,,,,,
11,XPRO,EXPRO LTD,Energy,11,15.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
