current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AMZN,Amazon,Consumer Discretionary,1,278.445007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GEN,Gen Digital,Information Technology,2,28.415001,,5,28.17,0.00869723,2,27.450001,0.02622947,7,27.290001,0.00586295,11,27.629999,-0.01230539,21,27.58,0.00181287,,,,,,,,,,,,,,,,,,,13,26.74,
3,CSCO,Cisco,Information Technology,3,119.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DLTR,Dollar Tree,Consumer Staples,4,129.872498,,3,129.350006,0.00403937,,,,,,,,,,10,126.760002,,,,,,,,,,,,,,,,,,,,,,
5,STLD,Steel Dynamics,Materials,5,255.804993,,,,,,,,,,,14,252.339996,,,,,,,,4,247.110001,,,,,,,,,,,,,,,,
6,RGLD,"Royal Gold, Inc. - Common Stock",,6,205.445007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TCOM,Trip.com Group Limited - American Depositary Shares,,7,46.810001,,18,47.299999,-0.01035937,,,,,,,,,,32,45.310001,,16,44.77,0.01206167,,,,,,,,,,,,,,,,,,
8,HSIC,Henry Schein,Health Care,8,89.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,87.82,
9,CLSK,CLEANSPARK INC,Information Technology,9,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PH,Parker Hannifin,Industrials,10,989.559998,,37,997.52002,-0.00797981,,,,,,,,,,,,,,,,29,987.409973,,31,985.51001,0.00192790,,,,,,,,,,,,
11,CLX,Clorox,Consumer Staples,11,100.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AME,Ametek,Industrials,12,247.024994,,39,243.875,0.01291643,,,,,,,,,,,,,,,,32,242.095001,,26,240.970001,0.00466863,,,,,,,,,,,,
13,J,Jacobs Solutions,Industrials,13,141.315002,,,,,,,,,,,,,,,,,,,,44,134.559998,,,,,,,,,,,,,,,,
14,EMR,Emerson Electric,Industrials,14,153.520004,,,,,37,149.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FUTU,Futu Holdings Limited - American Depositary Shares,,15,110.019997,,,,,,,,,,,,,,,,,,,,,,,,,,33,106.089996,,30,103.660004,0.02344194,,,,,,
16,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,16,16.105,,,,,,,,,,,,,,,,,,,,,,,,,,45,16.290001,,,,,,,,,,
17,PLAY,DAVE AND BUSTERS ENTERTAINMENT,Consumer Discretionary,17,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CRGY,CRESCENT ENERGY CLASS A,Energy,18,11.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BANR,BANNER CORP,Financials,19,71.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,20,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NNI,NELNET INC CLASS A,Financials,21,138.869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ECBK,ECB BANCORP INC,Financials,22,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
