current_rank,ticker,name,sector,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,1,75.970001,,13,73.779999,0.02968287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALG,ALAMO GROUP INC,Industrials,2,170.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DD,DuPont,Materials,3,139.770004,,5,141.309998,-0.01089798,,,,15,138.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,VGNT,VERSIGENT PLC,Consumer Discretionary,4,45.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SGC,SUPERIOR GROUP OF COMPANIES INC,Consumer Discretionary,5,13.9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BNTX,BioNTech SE - American Depositary Shares,,6,91.889999,,,,,,,,,,,5,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
7,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,7,25.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,8,20.115,,11,19.469999,0.03312794,,,,,,,,,,,,,,,,,,,,,,,,,38,19.219999,,,,,,,
9,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,9,17.940001,,,,,,,,,,,,,,,,,,,,36,15.78,,21,16.5,-0.04363636,,,,44,15.46,,,,,,,
10,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,10,16.105,,37,16.18,-0.00463535,,,,,,,,,,,,,,,,,,,,,,50,16.290001,,,,,,,,,,
11,MGRC,MCGRATH RENT,Industrials,11,121.105003,,,,,,,,,,,,,,,,,,,,,,,24,118.959999,,,,,,,,,,,,,
12,SMCI,Supermicro,Information Technology,12,29.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CSCO,Cisco,Information Technology,13,119.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RH,RH,Consumer Discretionary,14,187.505005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CODI,COMPASS DIVERSIFIED,Financials,15,10.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AVGO,Broadcom,Information Technology,16,411.380005,,,,,15,389.279999,,,,,,,,,,,,,,,,,,,,35,396.809998,,,,,,,,,,
17,TDW,TIDEWATER INC,Energy,17,79.425003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CHMG,CHEMUNG FINANCIAL CORP,Financials,18,83.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NVDA,Nvidia,Information Technology,19,210.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,20,26.385,,32,26.23,0.00590926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PBI,PITNEY BOWES INC,Industrials,21,18.370001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,22,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KMT,KENNAMETAL INC,Industrials,23,35.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CMPR,CIMPRESS PLC,Industrials,24,101.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WFC,Wells Fargo,Financials,25,89.230003,,30,87.885002,0.01530410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PNC,PNC Financial Services,Financials,26,255.460007,,15,251.690002,0.01497876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,APOG,APOGEE ENTERPRISES INC,Industrials,27,42.130001,,2,41.970001,0.00381225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LASR,NLIGHT INC,Information Technology,28,74.620003,,39,70.110001,0.06432751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,69.25,
29,SWKS,Skyworks Solutions,Information Technology,29,64.847504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FELE,FRANKLIN ELECTRIC INC,Industrials,30,108.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CLX,Clorox,Consumer Staples,31,100.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BLX,BLADEX INC CLASS E,Financials,32,60.16,,24,59.93,0.00383781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,33,5.17,,4,5.34,-0.03183521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AVLN,AVALYN PHARMA INC,Health Care,34,29.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PRG,PROG HOLDINGS INC,Financials,35,46.169998,,8,45.84,0.00719891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,WAT,Waters Corporation,Health Care,36,388.234985,,,,,,,,,,,,,,,,,,,,,,,4,382.440002,,,,,,,,,,,,,
37,BXC,BLUELINX HOLDINGS INC,Industrials,37,62.869999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",,38,74.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,BANR,BANNER CORP,Financials,39,71.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NVRI,ENVIRI CORP,Industrials,40,24.049999,,6,23.153,0.03874224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FUNC,FIRST UNITED CORP,Financials,41,45.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HP,HELMERICH & PAYNE INC,Energy,42,34.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,QRVO,"Qorvo, Inc. - Common Stock",,43,92.834999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,WFRD,Weatherford International plc - Ordinary shares,,44,89.910004,,,,,39,87.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,EWBC,"East West Bancorp, Inc. - Common Stock",,45,133.509995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TKNO,ALPHA TEKNOVA,Health Care,46,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TBCH,TURTLE BEACH,Information Technology,47,13.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,HSIC,Henry Schein,Health Care,48,89.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ARHS,ARHAUS INC CLASS A,Consumer Discretionary,49,8.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,EAF,GRAFTECH INTERNATIONAL LTD,Industrials,50,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
