current_rank,ticker,name,sector,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,BNTX,BioNTech SE - American Depositary Shares,,1,92.959999,,1,93.669998,-0.00757979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UBER,Uber,Industrials,2,77.605003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PCYO,PURE CYCLE CORP,Utilities,3,11.185,,4,10.83,0.03277932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AVTX,AVALO THERAPEUTICS INC,Health Care,4,19.415001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OIS,OIL STATES INTERNATIONAL,Energy,5,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SMC,SUMMIT MIDSTREAM CORP,Energy,6,31.575001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30.33,
7,CRC,CALIFORNIA RESOURCES,Energy,7,54.465,,,,,47,52.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOUG,DOUGLAS ELLIMAN INC,Real Estate,8,1.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CRVS,CORVUS PHARMACEUTICALS,Health Care,9,13.55,,3,13.92,-0.02658046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WEN,WENDYS,Consumer Discretionary,10,7.275,,5,7.69,-0.05396619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CEG,Constellation Energy,Utilities,11,271.149994,,6,269.890015,0.00466849,,,,,,,39,267.25,,9,273.709991,-0.02360159,,,,,,,,,,,,,,,,,,,,,,,,
12,HBAN,Huntington Bancshares,Financials,12,17.4991,,27,17.549999,-0.00290023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DVN,Devon Energy,Energy,13,45.355,,,,,,,,,,,46,44.060001,,,,,29,45.130001,,,,,,,,,,,,,,,,,,,,,,
14,LEN,Lennar,Consumer Discretionary,14,85.660004,,7,88.169998,-0.02846767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GIS,General Mills,Consumer Staples,15,37.035,,29,36.889999,0.00393063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FTV,Fortive,Industrials,16,61.490101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,62.904999,,6,62.305,0.00963003,,,,,,
17,DHI,D. R. Horton,Consumer Discretionary,17,146.429993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,LLYVA,"Liberty Live Holdings, Inc. - Series A Liberty Live Group Common Stock",,18,100.205002,,,,,,,,,,,,,,49,99.150002,,,,,,,,,,,,,,,,,,,,,,,,,
19,FC,FRANKLIN COVEY,Industrials,19,21.4,,45,21.775,-0.01722158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NVCR,NOVOCURE,Health Care,20,17.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,IPI,INTREPID POTASH INC,Materials,21,37.41,,,,,37,34.872002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ATLO,AMES NATIONAL CORP,Financials,22,31.184999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,29.790001,,,,
23,OVBC,OHIO VALLEY BANC CORP,Financials,23,44.130001,,,,,4,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MTH,MERITAGE CORP,Consumer Discretionary,24,71.910004,,10,74.550003,-0.03541246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TWO,TWO HARBORS INVESTMENT,Financials,25,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EQT,EQT Corporation,Energy,26,54.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AZO,AutoZone,Consumer Discretionary,27,3061.300049,,28,3126.830078,-0.02095734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SR,SPIRE INC,Utilities,28,81.349998,,35,81.949997,-0.00732153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NWE,NORTHWESTERN ENERGY GROUP,Utilities,29,71.239998,,18,72.089996,-0.01179079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TARS,TARSUS PHARMACEUTICALS,Health Care,30,66.620003,,13,64.790001,0.02824513,6,65.330002,-0.00826574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PCVX,VAXCYTE,Health Care,31,58.740002,,16,58.07,0.01153783,1,58.889999,-0.01392425,,,,,,,,,,,,,39,55.959999,,,,,,,,,,,,,,,,,,,
32,CGEM,CULLINAN THERAPEUTICS,Health Care,32,17.959999,,,,,5,17.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
