current_rank,ticker,name,sector,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,CG,The Carlyle Group Inc. - Common Stock,,1,47.349998,,,,,,,,,,,17,46.470001,,39,46.279999,0.00410549,,,,,,,,,,,,,,,,,,
2,APO,Apollo Global Management,Financials,2,127.754997,,42,125.699997,0.01634845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AVGO,Broadcom,Information Technology,3,388.309998,,24,389.279999,-0.00249178,,,,,,,,,,,,,,,,,,,40,396.809998,,,,,,,,,,
4,BA,Boeing,Industrials,4,226.910004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OVLY,OAK VALLEY BANCORP,Financials,5,33.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LYB,LyondellBasell,Materials,6,61.779999,,12,62.110001,-0.00531319,,,,35,60.490002,,,,,,,,10,60.334999,,5,61.709999,-0.02228164,,,,,,,,,,,,
7,XPRO,EXPRO LTD,Energy,7,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16.48,
8,DRUG,BRIGHT MINDS BIOSCIENCES INC,Health Care,8,74.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BNTX,BioNTech SE - American Depositary Shares,,9,92.790001,,,,,,,,4,92.949997,,,,,,,,,,,,,,,,,,,,,,,,,
10,ANET,Arista Networks,Information Technology,10,181.0,,11,180.315002,0.00379890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FTNT,Fortinet,Information Technology,11,164.089996,,33,161.949997,0.01321395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,INTU,Intuit,Information Technology,12,320.73999,,,,,,,,,,,45,312.98999,,,,,,,,,,,,,,,,,,,,,,
13,SDRL,SEADRILL LTD,Energy,13,43.18,,3,44.825001,-0.03669829,,,,,,,,,,,,,33,44.93,,,,,,,,20,43.959999,,28,42.456001,0.03542486,,,
14,PDD,PDD Holdings Inc. - American Depositary Shares,,14,89.669998,,,,,46,87.440002,,3,88.32,-0.00996375,,,,,,,,,,,,,,,,,,,,,,,,
15,INVH,Invitation Homes,Real Estate,15,30.415001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AVT,"Avnet, Inc. - Common Stock",,16,90.089996,,8,88.839996,0.01407024,,,,,,,,,,,,,,,,,,,,,,7,89.849998,,,,,,,
17,GNK,GENCO SHIPPING AND TRADING LTD,Industrials,17,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DVN,Devon Energy,Energy,18,44.639999,,46,45.130001,-0.01085757,,,,,,,,,,,,,40,45.041302,,45,45.299999,-0.00571075,6,44.860001,0.00980825,24,44.099998,0.01723363,,,,,,
19,CBK,COMMERCIAL BANCGROUP INC,Financials,19,34.740002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CRM,Salesforce,Information Technology,20,189.009995,,,,,,,,,,,2,181.494995,,6,173.550003,0.04577927,,,,,,,,,,,,,33,173.770004,,,,
21,JOE,ST JOE,Real Estate,21,63.459999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BSX,Boston Scientific,Health Care,22,47.77,,13,46.73,0.02225551,25,46.0,0.01586957,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DDOG,Datadog,Information Technology,23,277.017609,,,,,,,,16,264.200012,,,,,,,,,,,,,,,,,,,,,,,,,
24,GOLD,GOLD INC,Consumer Discretionary,24,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,LECO,"Lincoln Electric Holdings, Inc. - Common Shares",,25,265.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,APH,Amphenol,Information Technology,26,161.470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,STEP,STEPSTONE GROUP INC CLASS A,Financials,27,46.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EOG,EOG Resources,Energy,28,146.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RDVT,RED VIOLET INC,Information Technology,29,69.629997,,,,,,,,29,67.800003,,,,,,,,,,,,,,,,,,,,,,,,,
30,JAKK,JAKKS PACIFIC INC,Consumer Discretionary,30,26.565001,,,,,,,,,,,,,,,,,,,,,,,,,,39,24.41,,,,,,,
