rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,ARM,Arm Holdings plc - American Depositary Shares,,99.03,Deep v3 Daily CNN 确认层 强确认,264.899994,58.9,0.76,0.07571415,0.04258498,0.04538280,98.2,57.05,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 99.0,Deep v3 Daily CNN 确认层,yes,99.03,2026-09-17
2,VIA,VIA TRANSPORTATION CLASS A,Information Technology,94.94,Deep v3 Daily CNN 确认层 强确认,27.865999,60.18,1.18,0.05273895,0.05793466,0.11419428,92.8,55.03,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 94.9,Deep v3 Daily CNN 确认层,yes,94.94,2026-09-17
3,SMCI,Supermicro,Information Technology,90.46,Deep v3 Daily CNN 确认层 强确认,40.349998,58.94,0.61,0.09527682,0.07916553,0.07858856,98.2,64.12,78.4,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 90.5,Deep v3 Daily CNN 确认层,yes,90.46,2026-09-17
4,RIOT,RIOT PLATFORMS,Information Technology,85.98,Deep v3 Daily CNN 确认层 强确认,21.879999,57.65,0.72,0.05828295,0.04513972,0.15675378,98.2,73.64,91.6,81.68,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 86.0,Deep v3 Daily CNN 确认层,yes,85.98,2026-09-17
5,KN,KNOWLES,Information Technology,83.74,Deep v3 Daily CNN 确认层 强确认,35.419998,51.26,1.05,-0.00449702,0.00056486,-0.01815670,95.5,40.57,69.9,66.8,100.0,100.0,early_transition,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 83.7,Deep v3 Daily CNN 确认层,yes,83.74,2026-09-17
6,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,81.6,Deep v3 Daily CNN 确认层 强确认,123.660004,63.46,1.82,0.02630929,0.03698117,0.01752658,87.7,59.72,88.8,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.6,Deep v3 Daily CNN 确认层,yes,81.6,2026-09-17
7,DLX,DELUXE,Industrials,80.53,Deep v3 Daily CNN 确认层 强确认,23.93,52.5,1.08,0.00503994,0.01226739,0.02527849,87.7,41.03,88.8,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 80.5,Deep v3 Daily CNN 确认层,yes,80.53,2026-09-17
8,SEI,SOLARIS ENERGY INFRASTRUCTURE INC,Energy,76.44,Deep v3 Daily CNN 确认层 一般确认,69.220001,63.82,0.75,0.05006073,0.08054953,0.11825523,82.9,75.56,91.6,80.89,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 76.4,Deep v3 Daily CNN 确认层,no,76.44,2026-09-17
9,PRLB,PROTO LABS,Industrials,72.64,Deep v3 Daily CNN 确认层 一般确认,86.525002,65.91,2.56,0.03141022,0.08590615,0.01938036,90.4,71.92,79.0,80.89,66.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 72.6,Deep v3 Daily CNN 确认层,no,72.64,2026-09-17
10,CRUS,"Cirrus Logic, Inc. - Common Stock",,72.25,Deep v3 Daily CNN 确认层 一般确认,120.370003,57.41,0.79,0.00939206,0.03339629,0.02950740,87.7,48.14,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 72.2,Deep v3 Daily CNN 确认层,no,72.25,2026-09-17
11,WMK,WEIS MARKETS,Consumer Staples,71.96,Deep v3 Daily CNN 确认层 一般确认,72.779999,56.49,1.29,-0.00813204,0.02247821,0.03424749,87.7,48.45,83.8,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 72.0,Deep v3 Daily CNN 确认层,no,71.96,2026-09-17
12,BRKR,Bruker Corporation - Common Stock,,71.37,Deep v3 Daily CNN 确认层 一般确认,63.049999,67.28,1.43,0.03734781,0.17740430,0.10866890,90.4,73.35,81.8,81.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 71.4,Deep v3 Daily CNN 确认层,no,71.37,2026-09-17
13,COHU,COHU,Information Technology,69.04,Deep v3 Daily CNN 确认层 一般确认,55.0,57.98,1.19,0.07832563,0.00622027,-0.07204319,98.2,69.39,53.1,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 69.0,Deep v3 Daily CNN 确认层,no,69.04,2026-09-17
14,VSTS,VESTIS,Industrials,68.94,Deep v3 Daily CNN 确认层 一般确认,13.85,64.74,0.77,0.00108421,0.06252397,0.06415674,87.7,72.28,100.0,80.89,68.0,72.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 68.9,Deep v3 Daily CNN 确认层,no,68.94,2026-09-17
15,GENB,GENERATE BIOMEDICINES INC,Health Care,64.85,Deep v3 Daily CNN 确认层 一般确认,17.120001,61.24,1.23,0.06799750,0.11313401,0.06302397,90.4,55.51,81.8,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 64.8,Deep v3 Daily CNN 确认层,no,64.85,2026-09-17
16,WDAY,"Workday, Inc.",Information Technology,62.9,Deep v3 Daily CNN 确认层 一般确认,199.279999,58.72,0.94,0.05005796,0.07660720,0.04540327,92.8,56.86,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 62.9,Deep v3 Daily CNN 确认层,no,62.9,2026-09-17
17,NTCT,NETSCOUT SYSTEMS,Information Technology,61.93,Deep v3 Daily CNN 确认层 一般确认,39.27,63.36,1.12,0.01499098,0.04943886,0.00847460,87.7,43.15,88.8,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 61.9,Deep v3 Daily CNN 确认层,no,61.93,2026-09-17
18,ROG,ROGERS,Information Technology,55.5,Deep v3 Daily CNN 确认层 一般确认,131.080002,52.11,0.89,0.01231804,-0.01317473,-0.04118210,95.5,70.66,53.8,80.89,68.0,100.0,early_transition,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.5,Deep v3 Daily CNN 确认层,no,55.5,2026-09-17
19,LOGI,Logitech International S.A. - Registered Shares,,47.42,Deep v3 Daily CNN 确认层 未确认,102.540001,57.35,0.77,0.01812049,0.02735200,0.04350483,95.5,71.64,100.0,81.68,68.0,100.0,early_transition,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 47.4,Deep v3 Daily CNN 确认层,no,47.42,2026-09-17
20,AMRX,AMNEAL PHARMACEUTICALS CLASS A,Health Care,44.69,Deep v3 Daily CNN 确认层 未确认,18.280001,63.18,1.36,0.01923624,0.08293851,0.00467167,90.4,47.92,88.8,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 44.7,Deep v3 Daily CNN 确认层,no,44.69,2026-09-17
21,XMTR,XOMETRY CLASS A,Industrials,44.21,Deep v3 Daily CNN 确认层 未确认,95.260002,60.59,1.41,0.02188373,0.12401182,0.10806096,90.4,77.12,90.2,81.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 44.2,Deep v3 Daily CNN 确认层,no,44.21,2026-09-17
22,MIR,MIRION TECHNOLOGIES CLASS A,Information Technology,38.46,Deep v3 Daily CNN 确认层 未确认,16.24,55.24,1.55,0.01246876,0.02557626,0.06005222,79.6,75.53,100.0,80.89,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 38.5,Deep v3 Daily CNN 确认层,no,38.46,2026-09-17
