current_rank,ticker,name,sector,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,OFLX,OMEGA FLEX INC,Industrials,1,30.940001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RL,Ralph Lauren Corporation,Consumer Discretionary,2,400.274994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MOS,Mosaic Company (The),Materials,3,23.4,,1,23.42,-0.00085397,,,,,,,,,,30,22.77,,,,,,,,,,,,,,,,,,,
4,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,,4,261.570007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MUX,MCEWEN INC,Materials,5,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MMI,MARCUS & MILLICHAP INC,Real Estate,6,31.969999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CXW,CORECIVIC REIT,Industrials,7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,OIS,OIL STATES INTERNATIONAL,Energy,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8.72,
9,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NHP,NATIONAL HEALTHCARE PROPERTIES CLA,Real Estate,10,16.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,11,39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SYM,Symbotic Inc. - Class A Common Stock,,12,46.52,,42,46.52,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HWM,Howmet Aerospace,Industrials,13,290.380005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,287.209991,,,,
14,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,14,237.259995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FPI,FARMLAND PARTNERS INC,Real Estate,15,10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WFRD,Weatherford International plc - Ordinary shares,,16,90.559998,,25,87.529999,0.03461669,26,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PNRG,PRIMEENERGY RESOURCES CORP,Energy,17,188.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,193.395004,
18,CVCO,CAVCO INDUSTRIES,Consumer Discretionary,18,579.570007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,OLED,Universal Display Corporation - Common Stock,,19,85.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,20,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CAI,"Caris Life Sciences, Inc. - Common Stock",,21,16.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KREF,KKR REAL ESTATE FINANCE INC TRUST,Financials,22,7.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ACLS,AXCELIS TECHNOLOGIES,Information Technology,23,139.899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TARS,TARSUS PHARMACEUTICALS,Health Care,24,64.447502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TAP,Molson Coors Beverage Company,Consumer Staples,25,43.029999,,,,,,,,,,,,,,,,,31,42.759998,,36,42.5,0.00611760,,,,,,,,,,,,
26,SWKS,Skyworks Solutions,Information Technology,26,67.370003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LOW,Lowe's,Consumer Discretionary,27,218.070007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EXEL,"Exelixis, Inc. - Common Stock",,28,56.700001,,19,56.700001,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AMGN,Amgen,Health Care,29,403.109985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FUTU,Futu Holdings Limited - American Depositary Shares,,30,110.220001,,,,,,,,44,107.040001,,,,,,,,,,,,,,,,,,,,,,,,,
31,GDOT,GREEN DOT CLASS A,Financials,31,13.528,,21,13.475,0.00393321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PRM,PERIMETER SOLUTIONS,Materials,32,36.119999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,VTS,VITESSE ENERGY INC,Energy,33,15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,KEYS,Keysight Technologies,Information Technology,34,340.38501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LYTS,LSI INDUSTRIES INC,Industrials,35,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OXY,Occidental Petroleum,Energy,36,56.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,37,9.95,,,,,33,9.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CENX,CENTURY ALUMINUM,Materials,38,48.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NL,NLI HOLDINGS INC,Industrials,39,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,YORW,YORK WATER,Utilities,40,31.620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,41,53.540001,,40,52.970001,0.01076081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PLAB,PHOTRONICS,Information Technology,42,32.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CVNA,Carvana,Consumer Discretionary,43,69.095001,,31,69.474998,-0.00546955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,KALU,KAISER ALUMINIUM,Materials,44,176.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ALX,ALEXANDERS REIT INC,Real Estate,45,274.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,FUL,HB FULLER,Materials,46,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DAN,DANA INCORPORATED INC,Consumer Discretionary,47,28.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FER,Ferrovial N.V. - Ordinary Shares,,48,66.550003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MPTI,M TRON INDUSTRIES INC,Information Technology,49,89.644997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CENT,CENTRAL GARDEN AND PET,Consumer Staples,50,44.709999,,,,,20,44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
