rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
16,CRWD,CrowdStrike,Information Technology,46.48,Deep v3 Daily CNN 确认层 未确认,235.380005,65.72,1.2,0.14490009,0.10460373,0.04362868,98.2,56.57,68.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 46.5,Deep v3 Daily CNN 确认层,no,46.48,2026-09-14
17,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,41.09,Deep v3 Daily CNN 确认层 未确认,138.494995,58.37,1.47,0.05159452,0.01083863,0.03162007,98.2,66.8,80.4,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 41.1,Deep v3 Daily CNN 确认层,no,41.09,2026-09-14
18,ASTH,ASTRANA HEALTH,Health Care,40.23,Deep v3 Daily CNN 确认层 未确认,39.599998,62.78,1.87,0.04858994,0.02964116,0.04761902,92.8,48.21,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 40.2,Deep v3 Daily CNN 确认层,no,40.23,2026-09-14
19,WABC,WESTAMERICA BANCORPORATION,Financials,38.05,Deep v3 Daily CNN 确认层 未确认,59.950001,63.33,1.42,0.01704981,0.00976928,0.00120250,87.7,71.59,77.6,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 38.0,Deep v3 Daily CNN 确认层,no,38.05,2026-09-14
20,SPSC,SPS COMMERCE,Information Technology,36.06,Deep v3 Daily CNN 确认层 未确认,83.029999,57.02,0.87,0.01243747,0.00048200,0.04624493,98.2,54.51,88.8,80.89,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 36.1,Deep v3 Daily CNN 确认层,no,36.06,2026-09-14
21,OKE,Oneok,Energy,35.71,Deep v3 Daily CNN 确认层 未确认,96.970001,58.19,1.11,0.00103229,0.01635046,0.04674009,82.9,66.3,100.0,80.44,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 35.7,Deep v3 Daily CNN 确认层,no,35.71,2026-09-14
22,AUPH,AURINIA PHARMACEUTICALS,Health Care,34.75,Deep v3 Daily CNN 确认层 未确认,16.41,57.84,0.93,0.01862191,0.02052239,0.08031600,98.2,54.58,100.0,80.89,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 34.8,Deep v3 Daily CNN 确认层,no,34.75,2026-09-14
23,NAVI,NAVIENT,Financials,33.71,Deep v3 Daily CNN 确认层 未确认,9.78,63.14,2.38,0.05901462,0.01557632,0.05844156,98.2,54.57,91.6,80.89,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 33.7,Deep v3 Daily CNN 确认层,no,33.71,2026-09-14
24,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,29.54,Deep v3 Daily CNN 确认层 未确认,200.669998,65.72,1.56,0.05632467,0.05983945,0.05532477,98.2,54.97,91.6,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 29.5,Deep v3 Daily CNN 确认层,no,29.54,2026-09-14
25,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,29.45,Deep v3 Daily CNN 确认层 未确认,35.990002,59.81,1.53,0.01709775,0.02564839,0.03897237,87.7,48.3,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 29.4,Deep v3 Daily CNN 确认层,no,29.45,2026-09-14
