rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,AMAT,2026-07-02,2026-07-02,2026-09-14,429.725006,-0.2874021264308284,100.0,TRIM,True,35,硬止损: 持仓相对成本约 -28.7%，超过 -7% 防线; 新鲜破位: MACD 新转空; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.5%; 动能转弱: 20日跌幅 -15.3%; 动能转弱: RSI 35.7 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -40.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.40563622959889345,-0.05494707724598902,-0.1527169605840505,35.70961709534262,exit-risk-trends.html#ticker-amat
2,ARM,2026-07-02,2026-07-02,2026-09-14,248.270004,-0.21254121800476145,100.0,TRIM,True,49,硬止损: 持仓相对成本约 -21.3%，超过 -7% 防线; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: 20日跌幅 -11.2%; 动能转弱: RSI 46.2 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -43.5%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.43505663977497333,-0.015153286765096419,-0.11154450965112717,46.17896514706945,exit-risk-trends.html#ticker-arm
3,AVGO,2026-06-26,2026-06-30,2026-09-14,347.244995,-0.08075448047650557,100.0,TRIM,True,28,硬止损: 持仓相对成本约 -8.1%，超过 -7% 防线; 新鲜破位: MACD 新转空; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.6%; 动能转弱: RSI 35.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -18.8%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1882247361084548,-0.029770883427284955,-0.11640244322762516,35.28823434254183,exit-risk-trends.html#ticker-avgo
4,CLX,2026-06-26,2026-06-30,2026-09-14,88.709999,-0.07051553708056302,100.0,TRIM,True,9,硬止损: 持仓相对成本约 -7.1%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.7%; 动能转弱: 20日跌幅 -16.1%; 动能转弱: RSI 26.8 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -18.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.18050809237875287,-0.046744026364582525,-0.1607379231997519,26.781354075811436,exit-risk-trends.html#ticker-clx
5,GLW,2026-07-06,2026-07-06,2026-09-14,152.389999,-0.2177104894603108,100.0,WATCH,True,48,硬止损: 持仓相对成本约 -21.8%，超过 -7% 防线; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: 20日跌幅 -8.2%; 动能转弱: RSI 47.0 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -40.4%,-0.4040048581954331,-0.01237850915660721,-0.08193268022372802,46.96642336143509,exit-risk-trends.html#ticker-glw
6,IP,2026-06-26,2026-06-30,2026-09-14,34.439999,-0.09606297092194072,100.0,TRIM,True,10,硬止损: 持仓相对成本约 -9.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -7.5%; 动能转弱: 20日跌幅 -15.5%; 动能转弱: RSI 30.7 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -21.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.21887051485597642,-0.07518804644532506,-0.15463924130391538,30.65379991023765,exit-risk-trends.html#ticker-ip
7,IR,2026-06-26,2026-06-30,2026-09-14,72.010002,-0.12172211542193234,100.0,TRIM,True,19,硬止损: 持仓相对成本约 -12.2%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.7%; 动能转弱: 20日跌幅 -13.6%; 动能转弱: RSI 28.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -20.0%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.19988886666666672,-0.0569669845866031,-0.1359490586008667,28.274815385603958,exit-risk-trends.html#ticker-ir
8,KMB,2026-07-06,2026-07-06,2026-09-14,100.290001,-0.11255641779388692,100.0,TRIM,True,5,硬止损: 持仓相对成本约 -11.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.4%; 动能转弱: 20日跌幅 -9.1%; 动能转弱: RSI 35.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -12.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.12593687686834365,-0.04449312161292984,-0.0914937774390232,35.51976545827236,exit-risk-trends.html#ticker-kmb
9,ORCL,2026-07-02,2026-07-02,2026-09-14,143.070007,0.01996152363409065,100.0,TRIM,True,24,利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位: 收盘新跌破 EMA26; 新鲜破位: MACD 新转空; 派发聚集: 最近5日出现 2 个放量下跌日; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -9.9%; 动能转弱: RSI 45.1 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -25.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.25731931196698143,-0.09894188247223756,-0.049495062463591144,45.107623396518086,exit-risk-trends.html#ticker-orcl
10,PYPL,2026-07-06,2026-07-06,2026-09-14,53.610001,0.18895544466622294,100.0,WATCH,True,9,利润保护: 曾有较大盈利但63日高点回撤 -13.9%; 利润保护: 收盘 $53.61 跌破 3ATR 动态保护线 $56.69; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -13.1%; 动能转弱: RSI 42.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -13.9%,-0.13948632647650605,-0.024563282834121014,-0.13055463833927994,42.35321712392427,exit-risk-trends.html#ticker-pypl
