current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,BRCB,BLACK ROCK COFFEE BAR CLASS A,Consumer Discretionary,1,8.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EQIX,Equinix,Real Estate,2,1051.380005,,37,1051.530029,-0.00014267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,3,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CGON,CG ONCOLOGY,Health Care,4,71.925003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AIG,American International Group,Financials,5,79.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80.230003,,15,79.82,0.00513659,,,
6,MHO,M I HOMES INC,Consumer Discretionary,6,152.119995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OMC,Omnicom Group,Communication Services,7,81.629997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MRX,MAREX GROUP LTD,Financials,8,64.940002,,,,,,,,,,,22,65.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GILD,Gilead Sciences,Health Care,9,131.509995,,11,135.25,-0.02765253,,,,,,,,,,,,,1,134.320007,,,,,,,,,,,,,,,,,,,,,,
10,MCY,MERCURY GENERAL,Financials,10,107.684998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IDYA,IDEAYA BIOSCIENCES,Health Care,11,36.310001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PLX,PROTALIX BIOTHERAPEUTICS INC,Health Care,12,2.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,13,70.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PAL,PROFICIENT AUTO LOGISTICS INC,Industrials,14,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
