current_rank,ticker,name,sector,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,BKR,Baker Hughes,Energy,1,59.740002,,13,58.459999,0.02189536,6,60.59,-0.03515433,,,,,,,,,,,,,,,,,,
2,REGN,Regeneron Pharmaceuticals,Health Care,2,697.75,,19,695.179993,0.00369689,,,,,,,,,,,,,,,,,,,3,676.690002,
3,TCOM,Trip.com Group Limited - American Depositary Shares,,3,46.419998,,32,45.310001,0.02449784,16,44.77,0.01206167,,,,,,,,,,,,,,,,,,
4,PDD,PDD Holdings Inc. - American Depositary Shares,,4,87.415001,,,,,,,,,,,,,,,,,,,,,,,,,
5,CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,,5,111.154999,,,,,,,,,,,,,,,,,,,,,,,,,
6,UMBF,UMB FINANCIAL CORP,Financials,6,148.210007,,,,,,,,,,,,,,,,,,,,,,,,,
7,BSX,Boston Scientific,Health Care,7,46.240002,,,,,32,45.509998,,,,,,,,,,,,,,,,,,,
8,HII,Huntington Ingalls Industries,Industrials,8,291.005005,,,,,35,288.255005,,20,287.670013,0.00203355,,,,,,,,,,,,,,,
9,WM,Waste Management,Industrials,9,241.919998,,,,,,,,,,,,,,,,,,,,,,,,,
10,FE,FirstEnergy,Utilities,10,49.884998,,,,,,,,,,,23,49.485001,,,,,,,,,,,,,
11,V,Visa Inc.,Financials,11,369.440002,,,,,,,,,,,,,,,,,,,,,,,,,
12,DHR,Danaher Corporation,Health Care,12,201.294998,,,,,,,,,,,,,,,,,,,,,,,,,
13,AON,Aon plc,Financials,13,375.269989,,,,,,,,,,,,,,,,,,,,,,,,,
14,L,Loews Corporation,Financials,14,118.980003,,,,,,,,41,117.910004,,,,,,,,,,,,,,,,
15,MA,Mastercard,Financials,15,562.5,,,,,,,,,,,,,,,,,,,,,,,,,
16,CPAY,Corpay,Financials,16,390.149994,,,,,,,,,,,,,,,,,,,,35,369.350006,,,,
