rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,WING,Wingstop Inc. - Common Stock,,89.69,Deep v4 Shape Embedding 确认层 强确认,117.099998,57.49,1.27,0.06847937,0.06155380,0.04488264,90.4,48.07,91.6,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 89.7,Deep v4 Shape Embedding 确认层,yes,89.69,2026-09-11
2,SEDG,"SolarEdge Technologies, Inc. - Common Stock",,81.91,Deep v4 Shape Embedding 确认层 强确认,34.68,52.4,1.2,0.00144381,0.02482270,0.08273497,87.7,48.16,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.9,Deep v4 Shape Embedding 确认层,yes,81.91,2026-09-11
3,EWTX,EDGEWISE THERAPEUTICS,Health Care,80.07,Deep v4 Shape Embedding 确认层 强确认,44.400002,57.87,1.82,0.03207815,0.05840288,0.01928377,90.4,53.96,88.8,80.74,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 80.1,Deep v4 Shape Embedding 确认层,yes,80.07,2026-09-11
4,ANET,Arista Networks,Information Technology,78.67,Deep v4 Shape Embedding 确认层 一般确认,199.449997,59.01,1.03,0.05306232,0.04184076,-0.05217885,98.2,57.3,64.3,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.7,Deep v4 Shape Embedding 确认层,no,78.67,2026-09-11
5,LBRT,LIBERTY ENERGY CLASS A,Energy,71.59,Deep v4 Shape Embedding 确认层 一般确认,20.959999,55.77,0.86,0.00143330,0.02745093,-0.02873035,87.7,71.96,81.1,80.74,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 71.6,Deep v4 Shape Embedding 确认层,no,71.59,2026-09-11
6,NTAP,NetApp,Information Technology,71.5,Deep v4 Shape Embedding 确认层 一般确认,199.279999,65.55,1.28,0.07408303,0.07498109,-0.01370950,90.4,66.26,72.7,80.64,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 71.5,Deep v4 Shape Embedding 确认层,no,71.5,2026-09-11
7,GCO,GENESCO INC,Consumer Discretionary,68.44,Deep v4 Shape Embedding 确认层 一般确认,35.200001,54.63,1.19,0.06731355,0.01822392,0.00042632,92.8,43.26,80.4,80.74,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 68.4,Deep v4 Shape Embedding 确认层,no,68.44,2026-09-11
8,AXSM,"Axsome Therapeutics, Inc. - Common Stock",,61.98,Deep v4 Shape Embedding 确认层 一般确认,220.75,64.97,1.87,0.05129062,0.05936268,0.02726977,87.7,47.78,91.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 62.0,Deep v4 Shape Embedding 确认层,no,61.98,2026-09-11
9,HUT,HUT CORP,Information Technology,61.63,Deep v4 Shape Embedding 确认层 一般确认,98.599998,61.11,1.05,0.09131157,0.12019997,0.08590303,87.7,73.4,68.6,80.74,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 61.6,Deep v4 Shape Embedding 确认层,no,61.63,2026-09-11
10,TXN,Texas Instruments,Information Technology,61.01,Deep v4 Shape Embedding 确认层 一般确认,268.700012,58.61,0.91,0.03525342,0.05854088,-0.02835032,90.4,72.3,72.7,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 61.0,Deep v4 Shape Embedding 确认层,no,61.01,2026-09-11
