current_rank,ticker,name,sector,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,EGBN,EAGLE BANCORP INC,Financials,1,28.440001,,,,,,,,,,,,,,,,
2,TNC,TENNANT,Industrials,2,87.915001,,,,,,,,,,,,,,,,
3,IMAX,IMAX CORP,Communication,3,43.389999,,,,,,,,,,,,,,,,
4,SRI,STONERIDGE INC,Consumer Discretionary,4,7.41,,38,7.13,0.03927069,9,7.39,-0.03518268,26,7.37,0.00271370,,,,,,
5,NDSN,Nordson Corporation,Industrials,5,295.769989,,12,292.100006,0.01256413,,,,,,,,,,,,
6,ARE,Alexandria Real Estate Equities,Real Estate,6,50.959999,,,,,,,,9,50.610001,,,,,,,
7,CNX,CNX RESOURCES CORP,Energy,7,34.280998,,16,34.450001,-0.00490575,13,34.639999,-0.00548493,15,33.639999,0.02972652,,,,,,
8,EXR,Extra Space Storage,Real Estate,8,147.669998,,,,,,,,,,,,,,,,
9,UFPI,UFP INDUSTRIES INC,Industrials,9,87.940002,,,,,,,,,,,,,,,,
10,HON,Honeywell Technologies,Industrials,10,243.149994,,,,,4,232.990005,,2,229.860001,0.01361700,,,,,,
11,GM,General Motors,Consumer Discretionary,11,82.625,,2,80.730003,0.02347327,,,,11,79.510002,,,,,,,
12,PPL,PPL Corporation,Utilities,12,36.279999,,,,,,,,,,,,,,,,
13,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,13,43.02,,,,,,,,,,,,,,,,
14,EFOR,EVERFORTH INC,Information Technology,14,20.610001,,28,19.65,0.04885501,,,,,,,,,,45,18.73,
