current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,TCBX,THIRD COAST BANCSHARES INC,Financials,1,42.375,,,,,,,,,,,,,
2,RVTY,Revvity,Health Care,2,113.18,,,,,,,,,,,,,
3,JNJ,Johnson & Johnson,Health Care,3,259.23999,,,,,,,,,,,,,
4,NEE,NextEra Energy,Utilities,4,89.790001,,,,,,,,,,,,,
5,LYB,LyondellBasell,Materials,5,61.709999,,,,,,,,,,,,,
6,WAT,Waters Corporation,Health Care,6,382.440002,,,,,,,,,,,,,
7,XEL,Xcel Energy,Utilities,7,80.769997,,,,,,,,,,,,,
8,GATX,GATX CORP,Industrials,8,183.589996,,5,180.330002,0.01807793,,,,,,,,,
9,CMRE,COSTAMARE INC,Industrials,9,15.65,,,,,,,,,,,,,
10,TEX,TEREX CORP,Industrials,10,68.480003,,,,,,,,,,,,,
11,INVX,INNOVEX INTERNATIONAL INC,Energy,11,26.684999,,38,27.190001,-0.01857308,,,,,,,,,
12,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,12,16.5,,,,,,,,,,,,,
13,SR,SPIRE INC,Utilities,13,82.57,,,,,,,,,,,,,
14,EXE,Expand Energy,Energy,14,91.730003,,,,,,,,,,,,,
15,A,Agilent Technologies,Health Care,15,139.755005,,,,,,,,,,,,,
16,PKG,Packaging Corporation of America,Materials,16,234.110001,,,,,,,,,,,,,
17,CNP,CenterPoint Energy,Utilities,17,44.209999,,,,,,,,,,,,,
18,NVGS,NAVIGATOR HOLDINGS LTD,Energy,18,21.695,,,,,,,,,,,,,
19,WWD,"Woodward, Inc. - Common Stock",,19,411.940002,,,,,,,,,,,,,
20,TRST,TRUSTCO BANK CORP,Financials,20,56.450001,,,,,,,,,,,,,
21,NKTR,NEKTAR THERAPEUTICS,Health Care,21,69.360001,,,,,,,,,,,,,
22,CNX,CNX RESOURCES CORP,Energy,22,34.450001,,,,,,,,,,,,,
23,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,23,9.32,,,,,,,,,,,,,
24,ETN,Eaton Corporation,Industrials,24,415.100006,,,,,,,,,,,,,
25,TALO,TALOS ENERGY INC,Energy,25,15.265,,30,15.27,-0.00032744,,,,,,,,,
26,EXC,Exelon,Utilities,26,47.279999,,,,,,,,,,,,,
27,EVRG,Evergy,Utilities,27,86.650002,,,,,,,,,,,,,
28,PCAR,Paccar,Industrials,28,130.75,,,,,,,,,,,,,
29,OGS,ONE GAS INC,Utilities,29,80.029999,,,,,,,,,,,,,
30,NE,NOBLE CORPORATION PLC,Energy,30,43.110001,,,,,,,,,,,,,
31,CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,31,69.294998,,,,,,,,,,,,,
32,ETR,Entergy,Utilities,32,115.809998,,,,,,,,,,,,,
33,SO,Southern Company,Utilities,33,96.599998,,,,,,,,,,,,,
34,SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,34,93.0,,,,,,,,,,,,,
35,CRL,Charles River Laboratories,Health Care,35,229.339996,,,,,,,,,,,,,
36,IQV,IQVIA,Health Care,36,207.380005,,,,,,,,,,,,,
37,GD,General Dynamics,Industrials,37,381.630005,,,,,,,,,,,,,
38,NRG,NRG Energy,Utilities,38,143.089996,,,,,,,,,,,,,
39,MGRC,MCGRATH RENT,Industrials,39,118.959999,,,,,,,,,,,,,
40,COGT,COGENT BIOSCIENCES INC,Health Care,40,40.240002,,,,,,,,,,,,,
41,TDW,TIDEWATER INC,Energy,41,77.449997,,,,,,,,,,,,,
42,TXT,Textron,Industrials,42,93.199997,,8,91.675003,0.01663479,,,,,,,,,
43,FWRD,FORWARD AIR CORP,Industrials,43,15.48,,,,,,,,,,,,,
44,TRGP,Targa Resources,Energy,44,285.399994,,,,,,,,,,,,,
45,DVN,Devon Energy,Energy,45,45.299999,,6,44.860001,0.00980825,24,44.099998,0.01723363,,,,,,
46,HIG,Hartford (The),Financials,46,142.330002,,43,140.759995,0.01115379,11,141.970001,-0.00852297,34,140.5,0.01046264,,,
47,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,47,51.310001,,37,51.535,-0.00436595,,,,,,,22,51.200001,
48,PTEN,PATTERSON UTI ENERGY INC,Energy,48,10.34,,,,,,,,,,,,,
49,BLFS,BIOLIFE SOLUTIONS INC,Health Care,49,30.77,,,,,,,,,,,,,
50,HWM,Howmet Aerospace,Industrials,50,287.209991,,,,,,,,,,,,,
