current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,PKG,Packaging Corporation of America,Materials,1,234.110001,,35,228.130005,0.02621311
2,EMR,Emerson Electric,Industrials,2,144.869995,,,,
3,EGBN,EAGLE BANCORP INC,Financials,3,27.6,,,,
4,RSVR,RESERVOIR MEDIA INC,Communication,4,10.5,,25,10.26,0.02339181
5,CMP,COMPASS MINERALS INTERNATIONAL INC,Materials,5,29.82,,,,
6,XEL,Xcel Energy,Utilities,6,80.769997,,,,
7,CARR,Carrier Global,Industrials,7,69.129997,,,,
8,ARE,Alexandria Real Estate Equities,Real Estate,8,50.139999,,18,49.640999,0.01005217
9,GWW,W. W. Grainger,Industrials,9,1367.42395,,,,
10,ADNT,ADIENT PLC,Consumer Discretionary,10,20.110001,,,,
11,UFPI,UFP INDUSTRIES INC,Industrials,11,86.175003,,23,86.699997,-0.00605529
12,HOV,HOVNANIAN ENTERPRISES INC CLASS A,Consumer Discretionary,12,130.639999,,,,
13,ATLO,AMES NATIONAL CORP,Financials,13,29.790001,,,,
14,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,14,20.65,,,,
15,BFC,BANK FIRST CORP,Financials,15,147.389999,,,,
16,OLMA,OLEMA PHARMACEUTICALS INC,Health Care,16,11.74,,,,
17,BSVN,BANK7 CORP,Financials,17,50.400002,,,,
18,FSBW,FS BANCORP INC,Financials,18,43.560001,,,,
19,AMGN,Amgen,Health Care,19,371.5,,,,
20,ARGX,argenx SE - American Depositary Shares,,20,924.599976,,,,
21,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,21,322.399994,,,,
22,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,22,9.32,,,,
23,CTOS,CUSTOM TRUCK ONE SOURCE INC,Industrials,23,10.88,,30,10.515,0.03471232
24,GWRS,GLOBAL WATER RESOURCES INC,Utilities,24,7.15,,19,7.16,-0.00139665
25,CDRE,CADRE HOLDINGS INC,Industrials,25,30.49,,24,29.93,0.01871032
26,CSW,CSW INDUSTRIALS INC,Industrials,26,290.519989,,9,282.359985,0.02889929
27,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,27,41.615002,,,,
28,ESE,ESCO TECHNOLOGIES INC,Industrials,28,331.140015,,,,
29,KN,KNOWLES CORP,Information Technology,29,38.810001,,,,
30,SXT,SENSIENT TECHNOLOGIES CORP,Materials,30,117.025002,,,,
31,AVLN,AVALYN PHARMA INC,Health Care,31,29.73,,,,
32,EXC,Exelon,Utilities,32,47.279999,,10,46.700001,0.01241966
33,ETN,Eaton Corporation,Industrials,33,415.100006,,17,407.065002,0.01973887
34,SO,Southern Company,Utilities,34,96.599998,,,,
35,SYK,Stryker Corporation,Health Care,35,319.0,,,,
36,LLY,Lilly (Eli),Health Care,36,1185.540039,,,,
37,BX,Blackstone Inc.,Financials,37,124.489998,,,,
38,FELE,FRANKLIN ELECTRIC INC,Industrials,38,105.580002,,,,
39,PKE,PARK AEROSPACE CORP,Industrials,39,34.244999,,,,
40,EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,40,19.99,,,,
41,KE,KIMBALL ELECTRONICS INC,Information Technology,41,24.91,,,,
42,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,42,9.43,,,,
43,BALY,BALLY S CORP,Consumer Discretionary,43,14.235,,,,
44,DOLE,DOLE PLC,Consumer Staples,44,14.035,,45,14.295,-0.01818818
45,FDXF,FedEx Freight,Industrials,45,154.820007,,,,
46,CHD,Church & Dwight,Consumer Staples,46,96.199997,,1,97.129997,-0.00957480
47,FSTR,LB FOSTER,Industrials,47,42.709999,,,,
48,CARE,CARTER BANKSHARES INC,Financials,48,33.900002,,,,
49,SPNT,SIRIUSPOINT LTD,Financials,49,24.775,,,,
50,CMT,CORE MOLDING TECHNOLOGIES INC,Materials,50,24.184999,,11,24.780001,-0.02401138
